1227,佳格,STARD FOODS CORPORATION,2221,N,Y
1229,聯華,LIEN HWA INDUSTRIAL CORPORATION,3405,N,Y
1314,中石化,CHINA PETROCHEMICAL DEVELOPMENT CORPORATION,12918,N,Y
1319,東陽,TONG YANG INDUSTRY CO.LTD,2338,N,Y
1434,福懋,FORMOSA TAFFETA CO.LTD,5041,N,Y
1476,儒鴻,ECLAT TEXTILE CO. LTD.,982,N,Y
1477,聚陽,Makalot Industrial Co. Ltd.,880,N,Y
1504,東元,TECO ELECTRIC & MACHINERY CO. LTD.,8938,N,Y
1536,和大,HOTA INDUSTRIAL MFG. CO. LTD.,1033,N,Y
1590,亞德客-KY,AIRTAC INTERNATIONAL GROUP,729,N,Y
1605,華新,WALSIN LIHWA CORPORATION,15288,N,Y
1704,榮化,LCY CHEMICAL  CORP.,3369,N,Y
1707,葡萄王,GRAPE KING BIO LTD,521,N,Y
1717,長興,ETERNAL MATERIALS CO. LTD.,4957,N,Y
1722,台肥,TAIWAN FERTILIZER CO. LTD.,3644,N,Y
1723,中碳,CHINA STEEL CHEMICAL CO.,758,N,Y
1789,神隆,ScinoPharm Taiwan Ltd.,1331,N,Y
1802,台玻,TAIWAN GLASS IND. CORP.,7990,N,Y
1909,榮成,Long Chen Paper Co.Ltd.,3756,N,Y
2015,豐興,FENG HSIN STEEL CO.LTD,2294,N,Y
2027,大成鋼,TA CHEN STAINLESS PIPE CO. LTD.,4257,N,Y
2049,上銀,HIWIN TECHNOLOGIES CORP.,1198,N,Y
2059,川湖,KING SLIDE WORKS CO.LTD,311,N,Y
2103,台橡,TSRC CORPORATION,3514,N,Y
2106,建大,KENDA RUBBER INDUSTRIAL CO. LTD,3368,N,Y
2201,裕隆,YULON MOTOR CO.LTD,4278,N,Y
2204,中華,China Motor Corporation,3178,N,Y
2227,裕日車,Yulon Nissan Motor Co.Ltd,114,N,N
2231,為升,CUB  ELECPARTS  INC.,350,N,Y
2313,華通,COMPEQ MANUFACTURING CO. LTD.,5422,N,Y
2324,仁寶,Compal Electronics Inc.,20376,N,Y
2337,旺宏,MACRONIX INTERNATIONAL CO. LTD.,8624,N,Y
2344,華邦電,WINBOND ELECTRONICS CORP.,14544,N,Y
2345,智邦,Accton Technology Corp.,2602,N,Y
2347,聯強,Synnex Technology International Corp.,6694,N,Y
2352,佳世達,Qisda Corporation,6717,N,Y
2353,宏碁,ACER INCORPORATED,14182,N,Y
2356,英業達,INVENTEC CORPORATION,14976,N,Y
2360,致茂,CHROMA ATE INC.,1899,N,Y
2371,大同,TATUNG CO.,10744,N,Y
2376,技嘉,GIGABYTE TECHNOLOGY CO.LTD,2420,N,Y
2377,微星,MICRO-STAR INTERNATIONAL CO.LTD.,3384,N,Y
2379,瑞昱,Realtek Semiconductor Corp,2328,N,Y
2383,台光電,ELITE  MATERIAL CO. LTD.,1394,N,Y
2385,群光,CHICONY ELECTRONICS CO. LTD.,2901,N,Y
2439,美律,MERRY ELECTRONICS CO.LTD.,913,N,Y
2441,超豐,GREATEK ELECTRONICS INC.,1443,N,Y
2448,晶電,EPISTAR Corporation,4848,N,Y
2449,京元電子,KING YUAN ELECTRONICS CO. LTD.,5478,N,Y
2451,創見,Transcend Information Inc.,1389,N,Y
2498,宏達電,HTC Corporation,3565,N,Y
2542,興富發,Highwealth  Construction  Corp.,4342,N,Y
2603,長榮,EVERGREEN MARINE CORP. (TAIWAN) LTD.,9919,N,Y
2606,裕民,U-MING MARINE TRANSPORT CORP.,2089,N,Y
2610,華航,China Airlines Ltd.,12852,N,Y
2615,萬海,WAN HAI LINES LTD.,5484,N,Y
2618,長榮航,EVA AIRWAYS CORPORATION,9804,N,Y
2723,美食-KY,Gourmet Master Co. Ltd.,361,N,Y
2809,京城銀,King's Town Bank,4789,N,Y
2812,台中銀,TAICHUNG COMMERCIAL BANK Co. Ltd.,11435,N,Y
2834,臺企銀,Taiwan Business Bank,20073,N,Y
2845,遠東銀,FAR EASTERN INTERNATIONAL BANK,9649,N,Y
2867,三商壽,Mercuries Life Insurance Co. Ltd.,5423,N,Y
2888,新光金,Shin Kong Financial Holding Co.Ltd.,38386,N,Y
2915,潤泰全,RUENTEX INDUSTRIES LIMITED,3465,N,Y
3019,亞光,ASIA OPTICAL CO. INC.,1046,N,Y
3026,禾伸堂,HOLY STONE ENTERPRISE CO.LTD.,652,N,Y
3034,聯詠,NOVATEK MICROELECTRONICS CORP.,2828,N,Y
3044,健鼎,Tripod Technology Corporation,2439,N,Y
3231,緯創,Wistron Corporation,13760,N,Y
3406,玉晶光,GENIUS ELECTRONIC OPTICAL CO.LTD,367,N,Y
3443,創意,Global Unichip Corp.,431,N,Y
3532,台勝科,FORMOSA SUMCO TECHNOLOGY CORPORATION,230,N,Y
3673,TPK-KY,TPK Holding Co. Ltd.,1600,N,Y
3682,亞太電,Asia Pacific Telecom Co.Ltd.,10313,N,Y
3702,大聯大,WPG HOLDINGS LIMITED,7948,N,Y
3706,神達,MiTAC Holdings Corporation,3037,N,Y
4943,康控-KY,CONCRAFT HOLDING CO. LTD,234,N,Y
4958,臻鼎-KY,Zhen Ding Technology Holding Limited,2204,N,Y
5264,鎧勝-KY,Casetek Holdings Limited,645,N,Y
5522,遠雄,Farglory Land Development  Co. Ltd,1516,N,Y
6116,彩晶,Hannstar Display Corp.,12129,N,Y
6176,瑞儀,RADIANT OPTO-ELECTRONICS CORP.,2184,N,Y
6239,力成,Powertech Technology Inc.,3483,N,Y
6269,台郡,FLEXIUM INTERCONNECT INC,1429,N,Y
6285,啟碁,Wistron NeWeb Corporation,1313,N,Y
6409,旭隼,VOLTRONIC POWER TECHNOLOGY CORP.,225,N,Y
6414,樺漢,ENNOCONN CORPORATION,215,N,Y
6415,矽力-KY,Silergy Corp.,287,N,Y
6452,康友-KY,Pharmally International Holding Co. Ltd.,173,N,N
6456,GIS-KY,General Interface Solution (GIS) Holding Ltd.,989,N,Y
8454,富邦媒,momo.com Inc.,224,N,Y
8464,億豐,Nien Made Enterprise Co. Ltd.,681,N,Y
9910,豐泰,FENG TAY ENTERPRISES CO. LTD.,1651,N,Y
9914,美利達,MERIDA INDUSTRY CO.LTD.,1212,N,Y
9917,中保,TAIWAN SECOM CO.LTD.,1388,N,Y
9921,巨大,GIANT MANUFACTURING CO. LTD.,1475,N,N
9933,中鼎,CTCI Corporation,3404,N,Y
9941,裕融,Yulon Finance Corporation,639,N,Y
9945,潤泰新,RUENTEX DEVELOPMENT CO.LTD.,6150,N,Y
