ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,RSV,K9
2016/08/08,400000,2259200,5.65,5.66,5.63,5.66,+0.02,11,100.00,50
2016/08/09,400000,2284000,5.7,5.72,5.7,5.72,+0.06,8,100.00,50
2016/08/10,400000,2270000,5.68,5.68,5.67,5.67,-0.05,7,99.13,50
2016/08/11,370000,2127800,5.74,5.76,5.74,5.76,+0.09,9,100.00,50
2016/08/12,435000,2488200,5.72,5.72,5.72,5.72,-0.04,10,99.31,50
2016/08/15,395000,2302900,5.72,5.99,5.72,5.99,+0.27,9,100.00,50
2016/08/16,430000,2556700,5.99,5.99,5.94,5.94,-0.05,7,99.17,50
2016/08/17,358000,2140680,5.94,5.98,5.9,5.98,+0.04,11,99.83,50
2016/08/18,376000,2240860,5.94,5.96,5.94,5.96,-0.02,13,91.67,50
2016/08/19,350000,2065500,5.85,5.93,5.85,5.93,-0.03,7,81.25,60.41
2016/08/22,340000,2016200,5.93,5.93,5.93,5.93,0.00,7,81.25,67.35
2016/08/23,480000,2838600,5.91,5.92,5.91,5.92,-0.01,15,74.07,69.59
2016/08/24,407000,2393120,5.88,5.89,5.83,5.87,-0.05,12,55.56,64.91
2016/08/25,400000,2347000,5.86,5.87,5.86,5.87,0.00,8,55.56,61.79
2016/08/26,400000,2340000,5.86,5.86,5.84,5.84,-0.03,8,6.25,43.27
2016/08/29,300000,1749000,5.82,5.84,5.82,5.84,0.00,6,12.50,33.02
2016/08/30,430000,2511200,5.84,5.84,5.84,5.84,0.00,21,14.29,26.77
2016/08/31,369000,2158160,5.85,5.86,5.84,5.84,0.00,11,18.18,23.91
2016/09/01,383000,2238520,5.84,5.85,5.84,5.85,+0.01,8,27.27,25.03
2016/09/02,408000,2382640,5.83,5.84,5.83,5.84,-0.01,15,20.00,23.36
2016/09/05,303000,1769610,5.87,5.87,5.83,5.83,-0.01,8,14.29,20.33
2016/09/06,200000,1180000,5.9,5.9,5.9,5.9,+0.07,5,100.00,46.88
2016/09/07,400000,2367000,5.91,5.92,5.91,5.92,+0.02,11,100.00,64.58
2016/09/08,340000,1999200,5.88,5.88,5.88,5.88,-0.04,13,60.00,63.05
2016/09/09,360000,2129600,5.91,5.92,5.91,5.92,+0.04,14,100.00,75.36
2016/09/10,405000,2336850,5.77,5.77,5.77,5.77,-0.15,9,0.00,50.24
2016/09/12,403000,2297140,5.72,5.72,5.7,5.7,-0.07,12,0.00,33.49
2016/09/13,400000,2288000,5.72,5.72,5.72,5.72,+0.02,12,9.09,25.36
2016/09/14,390000,2246400,5.76,5.76,5.76,5.76,+0.04,8,27.27,26.00
2016/09/19,400000,2286000,5.7,5.73,5.7,5.73,-0.03,12,13.64,21.88
2016/09/20,350000,2005500,5.73,5.73,5.73,5.73,0.00,7,13.64,19.14
2016/09/21,300000,1722000,5.74,5.74,5.74,5.74,+0.01,15,18.18,18.82
2016/09/22,330000,1917300,5.81,5.81,5.81,5.81,+0.07,9,50.00,29.22
2016/09/23,111000,644910,5.81,5.81,5.81,5.81,0.00,5,100.00,52.81
2016/09/26,120000,688800,5.74,5.74,5.74,5.74,-0.07,4,36.36,47.33
2016/09/29,100000,568000,5.68,5.68,5.68,5.68,-0.06,3,0.00,31.55
2016/09/30,101000,575690,5.69,5.7,5.69,5.7,+0.02,3,15.38,26.16
