ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,RSV,K9
2016/01/27,10337000,155996220,14.9,15.24,14.83,15.14,-0.17,1361,99.34,50
2016/01/28,3385013,51212277,15.1,15.2,15.02,15.14,0.00,235,99.34,50
2016/01/29,2246000,33488030,15.0,15.14,14.7,14.76,-0.38,209,96.85,50
2016/01/30,346000,5056170,14.7,14.7,14.55,14.69,-0.07,83,96.39,50
2016/02/01,871000,12838900,14.5,14.86,14.5,14.78,+0.09,126,96.98,50
2016/02/02,810000,11995670,14.8,14.89,14.71,14.84,+0.06,78,97.38,50
2016/02/03,2015000,30696180,15.0,15.34,15.0,15.23,+0.39,350,99.28,50
2016/02/15,1571000,24097090,15.35,15.4,15.26,15.29,+0.06,182,99.29,50
2016/02/16,852000,12804060,15.1,15.25,14.95,14.95,-0.34,114,50.00,50
2016/02/17,2508000,37644230,15.05,15.14,14.85,15.13,+0.18,166,70.00,56.66
2016/02/18,1088000,16215630,14.95,15.3,14.79,14.87,-0.26,143,41.11,51.47
2016/02/19,550000,8220330,15.03,15.03,14.9,14.91,+0.04,96,45.56,49.50
2016/02/22,730000,10789130,15.0,15.0,14.73,14.78,-0.13,91,31.11,43.37
2016/02/23,601000,8889200,14.85,14.88,14.46,14.86,+0.08,98,42.55,43.09
2016/02/24,915000,13715440,14.89,15.06,14.86,15.05,+0.19,128,62.77,49.65
2016/02/25,1849000,27888660,14.95,15.21,14.81,15.15,+0.10,170,73.40,57.57
2016/02/26,515000,7697000,15.16,15.16,14.91,15.01,-0.14,74,65.48,60.21
2016/03/01,111000,1656830,14.56,15.05,14.56,15.05,+0.04,42,70.24,63.55
2016/03/02,1483000,21401340,14.85,14.85,14.35,14.37,-0.68,356,2.11,43.07
2016/03/03,1318000,18852150,14.22,14.42,14.22,14.34,-0.03,115,12.12,32.75
2016/03/04,434000,6195480,14.5,14.5,14.21,14.28,-0.06,104,7.00,24.16
2016/03/07,2444000,34482180,14.2,14.2,14.04,14.16,-0.12,172,10.26,19.53
2016/03/08,648000,9244630,14.15,14.31,14.14,14.25,+0.09,82,17.95,19.00
2016/03/09,274000,3924020,14.43,14.43,14.27,14.28,+0.03,67,20.51,19.51
2016/03/10,322000,4565010,14.22,14.22,14.14,14.19,-0.09,46,13.39,17.47
2016/03/11,942000,13329770,14.3,14.35,14.1,14.14,-0.05,73,9.90,14.95
2016/03/14,602000,8384610,14.01,14.18,13.87,13.9,-0.24,242,3.06,10.99
2016/03/15,272000,3811180,13.81,14.04,13.81,14.04,+0.14,46,33.33,18.44
2016/03/16,141000,1971350,14.04,14.08,13.94,14.03,-0.01,31,31.88,22.92
2016/03/17,337000,4663030,14.0,14.0,13.8,13.91,-0.12,78,17.46,21.10
2016/03/18,183000,2525530,13.9,13.9,13.75,13.79,-0.12,70,5.88,16.03
2016/03/21,117000,1603280,13.79,13.79,13.6,13.74,-0.05,35,16.87,16.31
2016/03/22,76000,1046130,13.73,13.81,13.73,13.76,+0.02,29,21.33,17.98
2016/03/23,73000,1007540,13.79,13.84,13.78,13.84,+0.08,27,32.00,22.66
2016/03/24,373000,5196580,13.94,13.98,13.88,13.95,+0.11,77,60.34,35.22
2016/03/25,113000,1588940,14.09,14.09,14.04,14.05,+0.10,37,91.84,54.09
2016/03/28,255000,3583420,14.07,14.07,14.04,14.07,+0.02,30,95.92,68.03
2016/03/29,482000,6751790,14.02,14.03,13.94,13.97,-0.10,125,75.51,70.52
