ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,RSV,K9
2017/03/14,1544000,30757050,19.95,19.95,19.9,19.9,-0.07,105,99.75,50
2017/03/15,636000,12694690,19.99,19.99,19.95,19.96,+0.06,49,99.85,50
2017/03/16,289000,5703570,19.72,19.74,19.72,19.73,-0.23,45,98.70,50
2017/03/17,564000,11082560,19.64,19.67,19.64,19.67,-0.06,33,98.40,50
2017/03/20,360000,7072390,19.61,19.65,19.61,19.62,-0.05,38,98.15,50
2017/03/21,438000,8601380,19.59,19.64,19.59,19.64,+0.02,22,98.25,50
2017/03/22,471000,9213080,19.61,19.61,19.54,19.55,-0.09,18,97.80,50
2017/03/23,423000,8265620,19.56,19.56,19.54,19.54,-0.01,20,97.75,50
2017/03/24,697000,13653340,19.57,19.59,19.57,19.59,+0.05,13,11.11,50
2017/03/27,41000,798040,19.51,19.51,19.45,19.45,-0.14,22,0.00,33.33
2017/03/28,627000,12182880,19.45,19.45,19.43,19.43,-0.02,23,0.00,22.22
2017/03/29,183000,3575990,19.54,19.56,19.54,19.55,+0.12,22,50.00,31.48
2017/03/30,878000,17226340,19.62,19.63,19.61,19.61,+0.06,28,81.82,48.26
2017/03/31,47000,926580,19.69,19.73,19.69,19.7,+0.09,21,90.00,62.17
2017/04/05,27000,532670,19.78,19.78,19.71,19.72,+0.02,10,82.86,69.07
2017/04/06,11000,216760,19.71,19.71,19.69,19.71,-0.01,6,80.00,72.72
2017/04/07,220000,4340740,19.74,19.75,19.73,19.73,+0.02,7,85.71,77.05
2017/04/10,191000,3795430,19.9,19.9,19.85,19.88,+0.15,18,95.74,83.28
2017/04/11,11000,218350,19.85,19.85,19.85,19.85,-0.03,4,89.36,85.31
2017/04/12,924000,18257990,19.74,19.76,19.74,19.75,-0.10,17,58.33,76.31
2017/04/13,126000,2475860,19.66,19.66,19.62,19.63,-0.12,16,6.90,53.17
2017/04/14,3000,59100,19.7,19.7,19.7,19.7,+0.07,3,28.57,44.97
2017/04/17,1204000,23694680,19.67,19.68,19.67,19.67,-0.03,19,17.86,35.93
2017/04/18,1010000,19856600,19.65,19.67,19.65,19.67,0.00,16,17.86,29.90
2017/04/19,631000,12329540,19.54,19.55,19.53,19.55,-0.12,18,5.41,21.73
2017/04/20,5000,97700,19.54,19.54,19.54,19.54,-0.01,1,2.70,15.39
2017/04/21,6000,117390,19.55,19.58,19.55,19.55,+0.01,4,6.25,12.34
2017/04/24,68000,1322260,19.45,19.46,19.43,19.43,-0.12,12,0.00,8.23
2017/04/25,326000,6309250,19.33,19.43,19.33,19.4,-0.03,15,18.92,11.80
2017/04/26,56000,1083550,19.35,19.36,19.34,19.35,-0.05,14,5.41,9.67
2017/04/27,434000,8406480,19.37,19.38,19.36,19.37,+0.02,16,11.43,10.26
2017/04/28,605000,11749170,19.43,19.44,19.42,19.44,+0.07,16,32.35,17.62
2017/05/02,61000,1183990,19.41,19.41,19.39,19.39,-0.05,8,24.00,19.75
2017/05/03,12000,232490,19.38,19.39,19.34,19.39,0.00,8,24.00,21.17
2017/05/04,8000,155690,19.47,19.47,19.45,19.46,+0.07,6,52.00,31.44
2017/05/05,1030000,19930690,19.36,19.36,19.34,19.35,-0.11,55,14.29,25.72
2017/05/08,5000,96750,19.35,19.35,19.35,19.35,0.00,4,14.29,21.91
2017/05/09,10000,194170,19.43,19.43,19.4,19.43,+0.08,7,69.23,37.69
2017/05/10,88000,1714740,19.46,19.5,19.46,19.48,+0.05,18,87.50,54.30
2017/05/11,30000,585420,19.51,19.52,19.5,19.52,+0.04,8,100.00,69.53
2017/05/12,1000,19530,19.53,19.53,19.53,19.53,+0.01,1,100.00,79.68
2017/05/15,16000,311060,19.46,19.46,19.43,19.43,-0.10,8,47.37,68.91
2017/05/16,125000,2419190,19.38,19.38,19.34,19.34,-0.09,22,0.00,45.94
2017/05/17,53000,1017930,19.22,19.22,19.19,19.19,-0.15,18,0.00,30.63
2017/05/18,45000,860070,19.11,19.14,19.07,19.14,-0.05,17,15.22,25.49
2017/05/19,22146,424574,19.16,19.19,19.16,19.16,+0.02,9,19.57,23.51
2017/05/22,37010,705780,19.1,19.1,19.06,19.06,-0.10,11,0.00,15.67
2017/05/23,55000,1045300,19.02,19.02,19.0,19.0,-0.06,25,0.00,10.45
2017/05/24,8000,152660,19.06,19.09,19.06,19.09,+0.09,7,16.98,12.63
2017/05/25,228154,4334909,19.04,19.04,18.99,18.99,-0.10,31,0.00,8.42
2017/05/26,24156,460526,19.06,19.07,19.06,19.07,+0.08,6,20.51,12.45
2017/05/31,14052,268033,19.07,19.1,19.07,19.1,+0.03,9,47.83,24.24
2017/06/01,21312,404636,19.0,19.03,18.98,19.03,-0.07,8,23.81,24.10
2017/06/02,5000,95200,19.03,19.06,19.03,19.05,+0.02,3,33.33,27.18
2017/06/03,5000,95100,19.02,19.02,19.02,19.02,-0.03,1,33.33,29.23
