ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,RSV,K9
2017/03/14,2386000,47612820,20.0,20.0,19.93,19.98,0.00,92,99.90,50
2017/03/15,925000,18542380,20.04,20.06,20.03,20.05,+0.07,50,99.95,50
2017/03/16,965000,18926430,19.63,19.63,19.57,19.61,-0.44,69,97.76,50
2017/03/17,583000,11359760,19.54,19.54,19.47,19.49,-0.12,47,97.16,50
2017/03/20,171000,3326350,19.5,19.5,19.44,19.44,-0.05,28,96.91,50
2017/03/21,451000,8784210,19.48,19.49,19.42,19.49,+0.05,26,97.16,50
2017/03/22,743000,14329910,19.3,19.32,19.26,19.27,-0.22,64,96.06,50
2017/03/23,605000,11652330,19.26,19.27,19.26,19.27,0.00,37,96.06,50
2017/03/24,480000,9288270,19.34,19.36,19.33,19.35,+0.08,24,11.25,50
2017/03/27,675000,12892850,19.15,19.15,19.09,19.11,-0.24,42,2.06,34.02
2017/03/28,61000,1162070,19.08,19.08,19.04,19.05,-0.06,26,1.69,23.24
2017/03/29,616000,11863580,19.27,19.3,19.24,19.3,+0.25,47,52.00,32.82
2017/03/30,733000,14214650,19.4,19.42,19.38,19.4,+0.10,51,78.26,47.97
2017/03/31,482000,9437130,19.57,19.61,19.56,19.59,+0.19,69,96.49,64.14
2017/04/05,48000,940080,19.7,19.7,19.56,19.6,+0.01,17,84.85,71.04
2017/04/06,45000,880410,19.54,19.6,19.54,19.6,0.00,19,84.85,75.64
2017/04/07,55000,1082140,19.69,19.69,19.64,19.68,+0.08,24,96.97,82.75
2017/04/10,110000,2189490,19.9,19.93,19.89,19.91,+0.23,31,97.75,87.75
2017/04/11,65000,1288390,19.84,19.84,19.79,19.82,-0.09,25,87.64,87.71
2017/04/12,844000,16634530,19.7,19.72,19.67,19.7,-0.12,27,66.67,80.69
2017/04/13,69000,1342130,19.46,19.46,19.42,19.44,-0.26,25,10.91,57.43
2017/04/14,12000,234660,19.51,19.64,19.51,19.64,+0.20,8,43.14,52.67
2017/04/17,813000,15869860,19.54,19.55,19.52,19.55,-0.09,22,25.49,43.61
2017/04/18,448000,8736310,19.53,19.53,19.5,19.53,-0.02,14,21.57,36.26
2017/04/19,250000,4808390,19.23,19.26,19.22,19.24,-0.29,49,2.82,25.11
2017/04/20,299000,5774610,19.29,19.33,19.29,19.29,+0.05,26,9.86,20.03
2017/04/21,368000,7097830,19.3,19.3,19.28,19.29,0.00,14,11.29,17.11
2017/04/24,467000,8886580,19.03,19.1,19.01,19.03,-0.26,93,2.82,12.35
2017/04/25,1037000,19640080,18.78,19.01,18.78,19.0,-0.03,43,25.58,16.76
2017/04/26,644000,12134820,18.87,18.88,18.83,18.83,-0.17,73,5.81,13.11
2017/04/27,790000,14917980,18.92,18.92,18.85,18.89,+0.06,30,14.29,13.50
2017/04/28,215000,4082700,18.98,19.01,18.96,19.01,+0.12,38,30.67,19.22
2017/05/02,939000,17751510,19.01,19.01,18.89,18.92,-0.09,43,25.45,21.29
2017/05/03,289000,5456700,18.87,18.9,18.85,18.9,-0.02,27,21.82,21.46
2017/05/04,192000,3660640,19.08,19.08,19.04,19.06,+0.16,54,53.85,32.26
2017/05/05,890000,16763760,18.87,18.87,18.81,18.81,-0.25,129,9.37,24.63
2017/05/08,169000,3185910,18.81,18.86,18.81,18.85,+0.04,13,23.33,24.20
2017/05/09,148000,2811640,18.98,19.0,18.98,19.0,+0.15,70,70.37,39.59
2017/05/10,84000,1605790,19.12,19.14,19.11,19.14,+0.14,50,100.00,59.72
2017/05/11,195000,3744290,19.17,19.23,19.16,19.23,+0.09,28,100.00,73.14
2017/05/12,1052000,20222080,19.22,19.23,19.17,19.18,-0.05,37,88.10,78.13
2017/05/15,176000,3347880,19.07,19.07,18.99,18.99,-0.19,27,42.86,66.38
2017/05/16,47000,887270,18.87,18.91,18.87,18.88,-0.11,25,16.67,49.81
2017/05/17,611000,11352230,18.63,18.63,18.55,18.57,-0.31,127,2.94,34.19
2017/05/18,354000,6511890,18.38,18.45,18.35,18.45,-0.12,76,11.36,26.58
2017/05/19,71000,1313930,18.48,18.53,18.48,18.52,+0.07,27,19.32,24.16
2017/05/22,855000,15682610,18.34,18.37,18.32,18.35,-0.17,118,3.30,17.21
2017/05/23,365000,6640760,18.23,18.23,18.17,18.21,-0.14,98,3.77,12.73
2017/05/24,278000,5113960,18.35,18.43,18.35,18.4,+0.19,94,21.70,15.72
2017/05/25,392000,7157820,18.31,18.31,18.22,18.24,-0.16,86,7.78,13.07
2017/05/26,351000,6442660,18.32,18.37,18.32,18.37,+0.13,131,27.03,17.72
2017/05/31,78000,1436310,18.42,18.42,18.4,18.42,+0.05,41,54.35,29.93
2017/06/01,194000,3544170,18.31,18.31,18.23,18.29,-0.13,54,33.33,31.06
2017/06/02,302000,5550690,18.32,18.42,18.32,18.39,+0.10,158,61.11,41.08
2017/06/03,98000,1786240,18.3,18.3,18.2,18.22,-0.17,71,19.23,33.80
2017/06/05,184000,3355060,18.22,18.26,18.18,18.26,+0.04,50,34.62,34.07
2017/06/06,175000,3186010,18.25,18.26,18.18,18.19,-0.07,42,4.00,24.04
2017/06/07,224000,4075910,18.2,18.22,18.18,18.19,0.00,32,4.17,17.42
2017/06/08,942000,17190260,18.28,18.3,18.18,18.18,-0.01,70,0.00,11.61
2017/06/09,773000,14190900,18.4,18.42,18.32,18.33,+0.15,91,62.50,28.57
2017/06/12,175000,3211390,18.34,18.36,18.3,18.36,+0.03,117,75.00,44.05
2017/06/13,153000,2811360,18.38,18.39,18.36,18.39,+0.03,35,87.50,58.54
2017/06/14,174000,3173290,18.28,18.28,18.22,18.24,-0.15,35,25.00,47.36
2017/06/15,193000,3517000,18.2,18.24,18.18,18.22,-0.02,41,16.67,37.13
2017/06/16,222000,4091990,18.4,18.5,18.4,18.5,+0.28,90,100.00,58.08
2017/06/19,95000,1744530,18.4,18.4,18.33,18.35,-0.15,41,53.13,56.43
2017/06/20,87000,1605330,18.53,18.53,18.43,18.46,+0.11,37,80.00,64.29
2017/06/21,134000,2481590,18.54,18.54,18.5,18.54,+0.08,46,100.00,76.19
2017/06/22,69000,1269900,18.43,18.43,18.39,18.39,-0.15,25,58.33,70.23
2017/06/23,19000,349660,18.42,18.42,18.39,18.42,+0.03,9,66.67,69.04
2017/06/26,238000,4361460,18.38,18.38,18.3,18.31,-0.11,31,36.11,58.07
2017/06/27,1000,18350,18.35,18.35,18.35,18.35,+0.04,1,47.22,54.45
2017/06/28,251000,4517750,18.07,18.07,17.95,18.03,-0.32,95,13.56,40.82
2017/06/29,278000,4974870,17.99,17.99,17.82,17.84,-0.19,79,2.78,28.14
2017/06/30,331000,5889270,17.84,17.84,17.73,17.84,0.00,54,13.58,23.29
2017/07/03,440000,7834980,17.84,17.87,17.78,17.84,0.00,71,13.58,20.06
2017/07/04,143000,2565570,17.94,17.96,17.93,17.95,+0.11,43,31.43,23.85
2017/07/05,136000,2441820,17.95,17.97,17.94,17.97,+0.02,34,34.78,27.49
2017/07/06,154000,2771270,17.97,18.02,17.97,18.02,+0.05,20,44.62,33.20
2017/07/07,140000,2503460,17.85,17.91,17.85,17.9,-0.12,24,27.42,31.27
2017/07/10,63000,1126550,17.87,17.93,17.87,17.93,+0.03,8,58.82,40.46
2017/07/11,15000,269280,17.95,17.96,17.94,17.96,+0.03,8,79.31,53.41
2017/07/12,409000,7278800,17.82,17.82,17.78,17.79,-0.17,117,20.69,42.51
2017/07/13,14000,248960,17.8,17.8,17.76,17.78,-0.01,7,7.69,30.90
2017/07/14,90000,1602570,17.78,17.85,17.78,17.85,+0.07,20,34.62,32.14
2017/07/17,301000,5314990,17.65,17.7,17.65,17.68,-0.17,77,8.11,24.13
2017/07/18,805000,14147390,17.68,17.68,17.52,17.54,-0.14,167,4.00,17.42
2017/07/19,247000,4327990,17.55,17.58,17.51,17.54,0.00,72,6.67,13.83
2017/07/20,145000,2547090,17.56,17.59,17.54,17.57,+0.03,48,13.33,13.66
2017/07/21,433000,7517450,17.4,17.4,17.34,17.35,-0.22,134,1.61,9.65
2017/07/24,383000,6595600,17.27,17.27,17.19,17.2,-0.15,123,1.52,6.94
2017/07/25,275000,4738620,17.22,17.28,17.2,17.2,0.00,80,1.52,5.14
2017/07/26,316000,5461090,17.26,17.3,17.26,17.29,+0.09,74,15.15,8.48
2017/07/27,962000,16356610,17.12,17.12,16.93,17.0,-0.29,279,9.09,8.68
2017/07/28,339000,5826240,17.12,17.21,17.12,17.19,+0.19,74,34.67,17.35
2017/07/31,459000,7813570,17.06,17.06,17.01,17.01,-0.18,141,12.12,15.61
2017/08/01,754000,12696440,16.88,16.88,16.81,16.83,-0.18,201,2.56,11.26
2017/08/02,236000,3989330,16.95,16.95,16.86,16.9,+0.07,81,15.25,12.59
2017/08/03,426000,7182040,16.91,16.91,16.81,16.82,-0.08,115,2.04,9.07
2017/08/04,151000,2535880,16.82,16.82,16.78,16.8,-0.02,72,3.85,7.33
2017/08/07,1285000,21905950,17.06,17.08,17.02,17.06,+0.26,281,53.85,22.84
2017/08/08,613000,10445680,17.2,17.2,16.99,17.0,-0.06,142,51.16,32.28
2017/08/09,841000,14408600,17.1,17.17,17.1,17.13,+0.13,209,81.40,48.65
2017/08/10,526000,9006010,17.14,17.17,17.07,17.15,+0.02,130,88.10,61.80
2017/08/11,630000,10749210,17.08,17.09,17.02,17.02,-0.13,149,57.14,60.25
2017/08/14,262000,4436180,17.0,17.0,16.91,16.92,-0.10,84,33.33,51.28
2017/08/15,304000,5188420,17.01,17.08,17.01,17.07,+0.15,52,69.05,57.21
2017/08/16,196000,3366850,17.2,17.2,17.15,17.18,+0.11,83,95.24,69.89
2017/08/17,342000,5824360,17.08,17.08,17.0,17.0,-0.18,112,31.03,56.93
2017/08/18,145000,2479340,17.09,17.14,17.06,17.06,+0.06,64,51.72,55.19
2017/08/21,87000,1481750,17.06,17.06,17.01,17.04,-0.02,44,44.83,51.73
2017/08/22,297000,5029850,17.0,17.0,16.91,16.99,-0.05,110,27.59,43.69
2017/08/23,344000,5874520,17.05,17.11,17.05,17.08,+0.09,68,58.62,48.67
2017/08/24,164000,2785690,17.0,17.0,16.98,16.99,-0.09,78,27.59,41.65
2017/08/25,203000,3442530,17.0,17.0,16.94,16.96,-0.03,52,17.24,33.52
2017/08/28,1002000,16729870,16.85,16.85,16.63,16.7,-0.26,318,12.28,26.44
2017/08/29,371000,6159570,16.66,16.66,16.58,16.58,-0.12,154,0.00,17.63
2017/08/30,354000,5881250,16.67,16.67,16.58,16.6,+0.02,96,3.57,12.94
2017/08/31,329000,5547080,16.8,16.9,16.74,16.87,+0.27,135,54.72,26.87
2017/09/01,209000,3501670,16.83,16.83,16.7,16.79,-0.08,85,39.62,31.12
2017/09/04,170000,2846200,16.79,16.79,16.71,16.76,-0.03,70,33.96,32.07
2017/09/05,107000,1784600,16.64,16.72,16.64,16.72,-0.04,53,33.33,32.49
2017/09/06,131000,2178410,16.62,16.66,16.6,16.65,-0.07,61,16.67,27.22
2017/09/07,281000,4660650,16.57,16.61,16.57,16.6,-0.05,93,9.09,21.18
2017/09/08,1746000,28418070,16.47,16.47,16.19,16.2,-0.40,531,1.41,14.59
2017/09/11,666000,10879880,16.21,16.39,16.21,16.38,+0.18,187,26.76,18.65
2017/09/12,304000,5008880,16.48,16.5,16.43,16.5,+0.12,119,43.66,26.98
2017/09/13,221000,3636240,16.5,16.5,16.43,16.44,-0.06,72,39.06,31.01
2017/09/14,579000,9635310,16.6,16.69,16.6,16.65,+0.21,188,76.67,46.23
2017/09/15,214000,3547080,16.6,16.6,16.55,16.57,-0.08,79,71.70,54.72
2017/09/18,269000,4436190,16.54,16.54,16.46,16.5,-0.07,91,62.00,57.15
2017/09/19,249000,4103500,16.5,16.5,16.47,16.47,-0.03,58,56.00,56.77
2017/09/20,234000,3847050,16.49,16.49,16.42,16.43,-0.04,74,48.00,53.85
2017/09/21,431000,7201510,16.68,16.74,16.68,16.72,+0.29,182,96.23,67.98
2017/09/22,904000,14986500,16.61,16.61,16.55,16.55,-0.17,256,40.63,58.86
2017/09/25,1084000,18036210,16.67,16.67,16.61,16.62,+0.07,228,62.50,60.07
2017/09/26,512000,8570910,16.7,16.78,16.7,16.78,+0.16,168,100.00,73.38
2017/09/27,1673000,28350190,16.89,17.12,16.86,17.09,+0.31,389,95.71,80.82
