ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,RSV,K9
2005/10/03,34352000,345341850,10.1,10.1,10.0,10.0,X0.00,1292,99.01,50
2005/10/04,14475000,145406400,10.05,10.05,10.0,10.05,+0.05,977,99.50,50
2005/10/05,15124000,151970250,10.05,10.05,10.0,10.05,0.00,718,99.50,50
2005/10/06,31899000,320599550,10.05,10.1,10.0,10.05,0.00,919,99.50,50
2005/10/07,6772000,68062600,10.05,10.1,10.05,10.05,0.00,300,99.50,50
2005/10/11,7659000,76993650,10.05,10.1,10.05,10.05,0.00,366,99.50,50
2005/10/12,6706000,67399900,10.05,10.1,10.05,10.05,0.00,310,99.50,50
2005/10/13,8197000,82399700,10.1,10.1,10.05,10.05,0.00,279,99.50,50
2005/10/14,4817000,48417200,10.05,10.1,10.05,10.05,0.00,269,50.00,50
2005/10/17,5466000,54943350,10.05,10.1,10.05,10.05,0.00,341,50.00,50.00
2005/10/18,6124000,61549100,10.05,10.1,10.05,10.1,+0.05,292,100.00,66.66
2005/10/19,7461000,75022050,10.05,10.1,10.05,10.05,-0.05,317,50.00,61.11
2005/10/20,4238000,42595700,10.05,10.1,10.05,10.05,0.00,245,0.00,40.74
2005/10/21,4133000,41619900,10.05,10.1,10.05,10.05,0.00,207,0.00,27.16
2005/10/24,4148000,41713700,10.05,10.1,10.05,10.05,0.00,206,0.00,18.11
2005/10/25,4146000,41739950,10.05,10.1,10.05,10.05,0.00,188,0.00,12.07
2005/10/26,2111000,21266150,10.05,10.1,10.05,10.1,+0.05,144,100.00,41.38
2005/10/27,3245000,32642050,10.1,10.1,10.05,10.05,-0.05,170,0.00,27.59
2005/10/28,2766000,27825950,10.05,10.1,10.05,10.1,+0.05,166,100.00,51.72
2005/10/31,4944000,49821750,10.05,10.1,10.05,10.1,0.00,168,100.00,67.81
2005/11/01,2225000,22414000,10.05,10.1,10.05,10.05,-0.05,148,0.00,45.21
2005/11/02,2498000,25180000,10.05,10.1,10.05,10.1,+0.05,163,100.00,63.47
2005/11/03,1485000,14949850,10.05,10.1,10.05,10.1,0.00,121,100.00,75.64
2005/11/04,2609000,26248800,10.05,10.1,10.05,10.05,-0.05,130,0.00,50.43
2005/11/07,4146000,41797450,10.1,10.1,10.05,10.1,+0.05,163,100.00,66.95
2005/11/08,9711000,97671850,10.05,10.1,10.05,10.05,-0.05,534,0.00,44.63
2005/11/09,5078000,51194250,10.05,10.1,10.05,10.1,+0.05,425,100.00,63.08
2005/11/10,78691000,794697650,10.1,10.1,10.05,10.1,0.00,2075,100.00,75.38
2005/11/11,8725000,88107450,10.1,10.1,10.05,10.1,0.00,258,100.00,83.58
2005/11/14,4359000,44007550,10.1,10.1,10.05,10.1,0.00,362,100.00,89.05
2005/11/15,3736000,37731350,10.1,10.15,10.05,10.1,0.00,219,50.00,76.04
2005/11/16,2672000,26981300,10.1,10.1,10.05,10.1,0.00,143,50.00,67.36
2005/11/17,5478000,55320850,10.1,10.1,10.05,10.1,0.00,151,50.00,61.58
2005/11/18,5263000,53152350,10.1,10.15,10.05,10.1,0.00,124,50.00,57.72
2005/11/21,3196000,32270250,10.1,10.1,10.05,10.1,0.00,119,50.00,55.15
2005/11/22,26406000,266698400,10.1,10.1,10.05,10.1,0.00,315,50.00,53.44
2005/11/23,27536000,278113250,10.1,10.1,10.05,10.1,0.00,301,50.00,52.30
2005/11/24,27044000,273144400,10.1,10.1,10.1,10.1,0.00,265,50.00,51.54
2005/11/25,34594000,349450550,10.15,10.15,10.1,10.1,0.00,323,50.00,51.03
2005/11/28,32641000,329674100,10.1,10.1,10.1,10.1,0.00,316,50.00,50.69
2005/11/29,21959000,221791700,10.1,10.15,10.1,10.1,0.00,248,50.00,50.46
2005/11/30,2318000,23411850,10.1,10.15,10.1,10.1,0.00,119,50.00,50.31
2005/12/01,1676000,16929600,10.1,10.15,10.1,10.1,0.00,92,50.00,50.21
2005/12/02,1661000,16776900,10.1,10.15,10.1,10.1,0.00,93,50.00,50.14
2005/12/05,834000,8424150,10.1,10.15,10.1,10.1,0.00,91,50.00,50.10
2005/12/06,4541000,45864450,10.1,10.15,10.1,10.1,0.00,178,0.00,33.40
2005/12/07,1674000,16907900,10.1,10.15,10.1,10.1,0.00,104,0.00,22.27
2005/12/08,6099000,61600150,10.1,10.15,10.1,10.1,0.00,264,0.00,14.85
2005/12/09,10077000,101927750,10.1,10.15,10.1,10.15,+0.05,322,100.00,43.23
2005/12/12,1466000,14809300,10.1,10.15,10.1,10.15,0.00,241,100.00,62.15
2005/12/13,924000,9332450,10.1,10.15,10.1,10.1,-0.05,51,0.00,41.43
2005/12/14,1351000,13670300,10.1,10.15,10.1,10.15,+0.05,64,100.00,60.95
2005/12/15,2710000,27486100,10.15,10.15,10.1,10.15,0.00,103,100.00,73.96
2005/12/16,5824000,58932350,10.1,10.15,10.1,10.15,0.00,147,100.00,82.64
2005/12/19,1081000,10946500,10.1,10.15,10.1,10.15,0.00,71,100.00,88.42
2005/12/20,7469000,75468950,10.1,10.15,10.1,10.15,0.00,126,100.00,92.28
2005/12/21,31009000,314718050,10.15,10.2,10.1,10.15,0.00,641,50.00,78.19
2005/12/22,8252000,83759950,10.15,10.2,10.15,10.15,0.00,140,50.00,68.80
2005/12/23,13210000,134076550,10.15,10.2,10.1,10.1,-0.05,150,0.00,45.87
2005/12/26,529000,5350950,10.15,10.15,10.1,10.1,0.00,40,0.00,30.58
2005/12/27,3746000,37955950,10.15,10.15,10.1,10.1,0.00,103,0.00,20.39
2005/12/28,7963000,80810250,10.15,10.15,10.1,10.15,+0.05,197,50.00,30.26
2005/12/29,1483000,15039950,10.15,10.15,10.1,10.15,0.00,62,50.00,36.84
2005/12/30,1176000,11924050,10.15,10.15,10.1,10.15,0.00,61,50.00,41.23
2006/01/02,5940000,60286000,10.15,10.15,10.1,10.15,0.00,319,50.00,44.16
2006/01/03,1771000,17975650,10.15,10.15,10.15,10.15,0.00,79,50.00,46.11
2006/01/04,2235000,22690250,10.15,10.2,10.15,10.15,0.00,105,50.00,47.41
2006/01/05,10109000,103045950,10.15,10.2,10.15,10.15,0.00,234,50.00,48.28
2006/01/06,7967000,81269000,10.2,10.25,10.2,10.25,+0.10,223,100.00,65.52
2006/01/09,4094000,41768850,10.2,10.25,10.2,10.2,-0.05,70,66.67,65.90
2006/01/10,8307000,84739150,10.2,10.25,10.2,10.25,+0.05,128,100.00,77.26
2006/01/11,7937000,80957650,10.2,10.25,10.2,10.2,-0.05,129,66.67,73.73
2006/01/12,7235000,73797500,10.2,10.25,10.2,10.2,0.00,110,66.67,71.37
2006/01/13,5654000,57673600,10.2,10.25,10.2,10.2,0.00,87,50.00,64.25
2006/01/16,4763000,48531750,10.2,10.2,10.15,10.15,-0.05,143,0.00,42.83
2006/01/17,5372000,54526000,10.15,10.2,10.15,10.15,0.00,168,0.00,28.55
2006/01/18,7415000,75262250,10.15,10.15,10.15,10.15,0.00,123,0.00,19.03
2006/01/19,9089000,92254600,10.15,10.2,10.15,10.15,0.00,156,0.00,12.69
2006/01/20,3330000,33800000,10.15,10.2,10.15,10.15,0.00,52,0.00,8.46
2006/01/23,10747000,109382400,10.15,10.2,10.15,10.15,0.00,237,0.00,5.64
2006/01/24,718000,7287700,10.15,10.15,10.15,10.15,0.00,35,0.00,3.76
