ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,RSV,K9
1992/01/04,292000,10518200,36.0,36.5,35.5,35.5,-0.05,148,97.260000000000005,50
1992/01/06,578000,20963600,35.5,36.5,35.5,36.3,0.08,272,99.450000000000003,50
1992/01/07,436000,15834200,36.5,36.5,36.1,36.4,0.01,196,99.730000000000004,50
1992/01/08,986000,36715100,36.8,37.6,36.8,37.2,0.08,422,98.939999999999998,50
1992/01/09,538000,20007800,37.5,37.5,36.8,37.3,0.01,235,99.200000000000003,50
1992/01/10,670000,24717000,37.3,37.3,36.6,36.6,-0.07,288,97.340000000000003,50
1992/01/11,390000,14413000,36.8,37.2,36.7,37.0,0.04,195,98.400000000000006,50
1992/01/13,2149000,84597800,38.9,39.5,38.7,39.5,2.25,764,100.0,50
1992/01/14,2187000,88723600,41.0,41.0,40.2,40.5,1.10,738,90.909999999999997,50
1992/01/15,862000,34716800,40.5,40.8,39.8,40.2,-0.03,399,85.450000000000003,61.81
1992/01/16,914000,37470100,40.8,41.9,40.3,41.2,1.10,393,87.930000000000007,70.52
1992/01/17,905000,37393900,41.5,41.7,40.5,40.5,-0.07,333,73.579999999999998,71.54
1992/01/18,635000,25487300,40.0,40.5,39.8,40.0,-0.05,259,64.150000000000006,69.07
1992/01/20,442000,18002200,40.0,41.0,40.0,40.9,0.09,201,81.129999999999995,73.09
1992/01/21,906000,37302900,41.5,41.5,40.7,40.7,-0.02,330,76.920000000000002,74.37
1992/01/22,1375000,57689400,41.0,42.9,41.0,41.1,0.04,607,57.140000000000001,68.63
1992/01/23,1056000,43770900,41.5,42.0,40.5,40.7,-0.04,510,29.030000000000001,55.43
1992/01/24,1479000,62360000,41.0,42.8,41.0,42.3,1.16,587,80.650000000000006,63.83
1992/01/25,2664000,119447900,43.5,45.2,43.5,45.2,2.29,1015,100.0,75.88
1992/01/27,2671000,126448200,47.0,48.0,46.2,47.3,2.21,1039,91.459999999999994,81.08
1992/01/28,2399000,113996200,48.5,48.6,45.8,46.0,-1.13,1057,70.450000000000003,77.53
1992/01/29,2237000,100628100,45.8,46.0,44.4,45.0,-1.10,798,58.140000000000001,71.07
1992/01/30,1002000,45517100,45.1,46.0,45.0,45.0,0.00,474,55.560000000000002,65.90
1992/02/07,566000,24839700,43.0,44.5,43.0,43.7,-1.13,286,39.509999999999998,57.10
1992/02/08,751000,33515300,43.1,45.5,43.1,44.8,1.11,308,53.090000000000003,55.77
1992/02/10,941000,42131900,45.5,45.5,43.8,43.9,-0.09,449,38.159999999999997,49.90
1992/02/11,866000,37297400,44.0,44.5,41.7,41.7,-2.22,436,0.0,33.27
1992/02/12,454000,19029700,41.7,42.5,41.7,41.7,0.00,254,0.0,22.18
1992/02/13,396000,16712900,43.0,43.0,41.7,42.5,0.08,207,11.59,18.65
1992/02/14,249000,10485600,42.8,42.8,41.6,41.6,-0.09,149,0.0,12.43
1992/02/15,238000,9834600,41.1,41.9,40.8,41.9,0.03,130,21.149999999999999,15.34
1992/02/17,333000,13696100,41.2,42.1,40.3,40.5,-1.14,166,3.8500000000000001,11.51
1992/02/18,449000,17928500,40.0,40.5,39.5,39.8,-0.07,222,5.0,9.34
1992/02/19,446000,18010900,40.0,41.0,39.8,40.7,0.09,216,20.0,12.90
1992/02/20,710000,29337900,41.5,41.6,41.0,41.4,0.07,308,38.0,21.27
1992/02/21,1045000,44037300,41.6,42.9,41.6,41.9,0.05,466,68.569999999999993,37.04
1992/02/22,509000,21466400,41.7,42.5,41.7,42.2,0.08,215,77.140000000000001,50.40
1992/02/24,888000,38038600,42.6,43.5,42.1,43.0,0.08,409,87.5,62.77
1992/02/25,1706000,74963800,42.9,45.6,42.8,44.5,1.15,766,81.969999999999999,69.17
1992/02/26,1219000,52010200,44.0,44.1,41.8,42.0,-2.25,442,40.979999999999997,59.77
1992/02/27,743000,31631700,42.1,43.0,42.1,42.4,0.04,283,47.539999999999999,55.70
1992/02/28,565000,24279000,42.8,43.5,42.5,43.0,0.06,295,55.170000000000002,55.52
1992/02/29,588000,25514300,43.2,43.5,43.1,43.3,0.03,275,50.0,53.68
1992/03/02,1811000,80886100,45.0,45.0,44.3,44.6,1.13,870,75.0,60.79
1992/03/03,2051000,92346600,44.6,45.5,44.6,45.0,0.04,989,84.620000000000005,68.74
1992/03/04,1058000,47735000,45.0,45.5,45.0,45.1,0.01,580,86.840000000000003,74.78
1992/03/05,2678000,124792300,45.7,47.5,45.7,46.6,1.15,1332,84.209999999999994,77.92
1992/03/06,2216000,101839500,46.8,46.8,45.5,45.5,-1.11,1031,64.909999999999997,73.59
1992/03/07,870000,39261100,45.6,45.8,44.5,44.8,-0.07,419,50.0,65.73
1992/03/09,713000,31424200,45.2,45.2,43.5,43.9,-0.09,347,28.0,53.15
1992/03/10,693000,30377700,43.9,44.0,43.6,43.8,-0.01,293,15.91,40.73
1992/03/11,445000,19864000,44.0,45.2,44.0,44.8,1.10,240,32.5,37.98
1992/03/12,506000,22867100,45.1,45.6,44.6,44.6,-0.02,292,27.5,34.49
1992/03/13,466000,20917700,44.9,45.1,44.6,45.0,0.04,202,37.5,35.49
1992/03/14,572000,26025400,45.8,45.8,45.4,45.4,0.04,292,47.5,39.49
1992/03/16,781000,35680900,45.5,45.9,45.4,45.7,0.03,371,66.670000000000002,48.55
1992/03/17,972000,43765900,45.8,45.9,44.4,44.5,-1.12,396,41.670000000000002,46.26
1992/03/18,404000,17758300,43.8,44.3,43.5,44.2,-0.03,171,29.170000000000002,40.56
1992/03/19,336000,14655300,44.2,44.2,43.0,43.1,-1.11,188,3.4500000000000002,28.19
1992/03/20,392000,16887800,43.0,43.5,42.9,43.2,0.01,214,10.0,22.12
1992/03/21,339000,14598000,43.3,43.3,42.9,43.1,-0.01,135,6.6699999999999999,16.97
1992/03/23,230000,9772600,43.0,43.0,41.8,42.0,-1.11,130,4.8799999999999999,12.94
1992/03/24,2890000,114306700,40.0,41.2,39.1,39.8,-2.22,1150,10.289999999999999,12.06
