ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,RSV,K9
2017/02/10,6067870,313816217,51.5,51.9,51.5,51.7,X0.00,1741,99.61,50
2017/02/13,2617236,135581878,51.8,51.9,51.7,51.8,+0.10,896,99.81,50
2017/02/14,1488227,77035604,51.8,51.9,51.7,51.7,-0.10,486,99.61,50
2017/02/15,1851604,95716898,51.7,51.8,51.6,51.6,-0.10,407,99.42,50
2017/02/16,822240,42469368,51.7,51.7,51.6,51.6,0.00,369,99.42,50
2017/02/17,980015,50727762,51.7,51.8,51.7,51.7,+0.10,274,99.61,50
2017/02/18,521764,27065467,51.7,52.0,51.7,51.9,+0.20,225,99.81,50
2017/02/20,472454,24526752,51.9,52.0,51.8,51.9,0.00,171,99.81,50
2017/02/21,696028,36216156,51.9,52.2,51.9,52.2,+0.30,280,100.0,50
2017/02/22,1045548,54535527,52.2,52.3,52.1,52.1,-0.10,244,71.43,57.14
2017/02/23,526478,27511484,52.1,52.3,52.1,52.3,+0.20,177,100.0,71.43
2017/02/24,284837,14905467,52.3,52.4,52.2,52.4,+0.10,99,100.0,80.95
2017/03/01,740630,38871705,52.4,52.6,52.4,52.6,+0.20,230,100.0,87.3
2017/03/02,927767,49063657,52.7,53.0,52.7,53.0,+0.40,280,100.0,91.53
2017/03/03,4816176,246751433,53.0,53.3,53.0,53.2,+0.20,223,93.75,92.27
2017/03/06,424395,22580735,53.3,53.3,53.1,53.2,0.00,158,93.33,92.62
2017/03/07,723383,38432281,53.2,53.2,53.1,53.1,-0.10,105,85.71,90.32
2017/03/08,1355031,71620928,53.1,53.1,52.6,52.8,-0.30,200,58.33,79.66
2017/03/09,170902,9018032,52.8,52.8,52.7,52.7,-0.10,63,50.0,69.77
2017/03/10,226456,11940846,52.7,52.8,52.7,52.8,+0.10,72,54.55,64.7
2017/03/13,227920,12011094,52.8,52.8,52.7,52.7,-0.10,90,33.33,54.24
2017/03/14,351411,18472467,52.7,52.7,52.5,52.5,-0.20,131,0.0,36.16
2017/03/15,199559,10489142,52.6,52.6,52.5,52.6,+0.10,101,12.5,28.27
2017/03/16,214455,11264882,52.6,52.6,52.5,52.5,-0.10,125,0.0,18.85
2017/03/17,540997,28381537,52.5,52.6,52.4,52.4,-0.10,165,0.0,12.57
2017/03/20,605508,31692513,52.4,52.4,52.2,52.2,-0.20,182,0.0,8.38
2017/03/21,156477,8182539,52.2,52.4,52.2,52.3,+0.10,82,16.67,11.14
2017/03/22,1146426,59779485,52.3,52.3,52.0,52.2,-0.10,168,25.0,15.76
2017/03/23,221502,11563597,52.3,52.3,52.2,52.2,0.00,85,25.0,18.84
2017/03/24,120740,6297849,52.2,52.2,52.1,52.2,0.00,58,28.57,22.08
2017/03/27,150827,7869604,52.2,52.2,52.1,52.1,-0.10,61,16.67,20.28
2017/03/28,735412,38333557,52.2,52.2,52.0,52.1,0.00,139,16.67,19.08
2017/03/29,288214,15026644,52.1,52.2,52.1,52.1,0.00,77,16.67,18.28
2017/03/30,631676,32920752,52.1,52.2,52.0,52.0,-0.10,97,0.0,12.19
2017/03/31,784194,40744561,52.1,52.1,51.9,51.9,-0.10,135,0.0,8.13
2017/04/05,277135,14396796,51.9,52.0,51.9,51.9,0.00,97,0.0,5.42
2017/04/06,176676,9196582,51.9,52.1,51.9,52.0,+0.10,50,25.0,11.95
2017/04/07,193142,10076084,52.0,52.2,52.0,52.1,+0.10,64,66.67,30.19
2017/04/10,108926,5680138,52.1,52.2,52.1,52.1,0.00,39,66.67,42.35
2017/04/11,124009,6463964,52.2,52.2,52.1,52.1,0.00,44,66.67,50.46
2017/04/12,301568,15740090,52.1,52.3,52.1,52.3,+0.20,87,100.0,66.97
2017/04/13,104696,5462292,52.2,52.2,52.1,52.1,-0.20,42,50.0,61.31
2017/04/14,325454,16983708,52.1,52.2,52.1,52.1,0.00,85,50.0,57.54
2017/04/17,207793,10844673,52.1,52.2,52.1,52.2,+0.10,58,75.0,63.36
2017/04/18,259539,13567628,52.2,52.3,52.1,52.1,-0.10,51,50.0,58.91
2017/04/19,185784,9696068,52.1,52.3,52.1,52.2,+0.10,62,66.67,61.5
2017/04/20,268631,14044369,52.2,52.4,52.2,52.2,0.00,70,33.33,52.11
2017/04/21,112295,5863767,52.2,52.3,52.2,52.2,0.00,34,33.33,45.85
2017/04/24,133208,6960735,52.3,52.3,52.2,52.2,0.00,20,33.33,41.68
2017/04/25,933085,48469620,52.2,52.2,51.8,52.0,-0.20,139,33.33,38.9
2017/04/26,745339,38492593,51.6,52.0,51.6,52.0,0.00,93,50.0,42.6
2017/04/27,58250,3027172,52.0,52.0,51.9,52.0,0.00,25,50.0,45.07
2017/04/28,208731,10831958,51.9,52.0,51.8,51.9,-0.10,92,37.5,42.55
2017/05/02,100890,5234405,51.9,52.0,51.8,51.9,0.00,57,37.5,40.87
2017/05/03,298967,15544880,52.0,52.0,51.9,52.0,+0.10,65,50.0,43.91
2017/05/04,258919,13424197,51.9,52.0,51.8,51.9,-0.10,95,42.86,43.56
2017/05/05,123054,6377492,51.9,51.9,51.8,51.8,-0.10,63,28.57,38.56
2017/05/08,119655,6197761,51.8,51.9,51.7,51.8,0.00,85,33.33,36.82
2017/05/09,361306,18665884,51.8,51.8,51.6,51.6,-0.20,105,0.0,24.55
2017/05/10,80969,4186696,51.6,51.8,51.6,51.7,+0.10,50,25.0,24.7
2017/05/11,115597,5975557,51.7,51.7,51.6,51.7,0.00,83,25.0,24.8
2017/05/12,580769,29940274,51.7,51.7,51.5,51.6,-0.10,189,20.0,23.2
2017/05/15,307590,15866582,51.6,51.7,51.5,51.5,-0.10,112,0.0,15.47
2017/05/16,562837,28987803,51.5,51.6,51.4,51.5,0.00,177,16.67,15.87
2017/05/17,226008,11635610,51.5,51.5,51.4,51.5,0.00,66,20.0,17.25
2017/05/18,162217,8353773,51.5,51.5,51.4,51.5,0.00,54,20.0,18.17
2017/05/19,200865,10345545,51.5,51.6,51.5,51.6,+0.10,59,50.0,28.78
2017/05/22,44985,2320326,51.6,51.6,51.5,51.6,0.00,38,50.0,35.85
2017/05/23,91006,4693506,51.6,51.6,51.5,51.6,0.00,48,66.67,46.12
