ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,RSV,K9
2011/12/13,23071310,582742150,25.3,25.85,24.9,25.0,X0.00,6257,96.71,50
2011/12/14,8894016,212145377,24.8,24.8,23.3,23.85,-1.15,2328,92.26,50
2011/12/15,5629480,132436476,23.5,24.05,22.85,23.85,0.00,1861,92.26,50
2011/12/16,4111486,99457156,23.7,24.6,23.65,24.5,+0.65,1236,94.78,50
2011/12/19,3498390,83003326,24.45,24.45,23.05,23.4,-1.10,876,90.52,50
2011/12/20,7878308,194524300,23.5,25.0,23.5,24.7,+1.30,1455,95.55,50
2011/12/21,11966323,309763124,25.4,26.4,25.2,26.4,+1.70,2741,100.00,50
2011/12/22,4435324,116267685,26.3,26.6,25.9,26.25,-0.15,1283,98.68,50
2011/12/23,8336968,223055588,26.5,27.1,26.25,26.9,+0.65,2440,95.29,50
2011/12/26,14889645,414948471,26.9,28.75,26.5,27.4,+0.50,3149,77.12,59.04
2011/12/27,9051422,254517788,27.4,28.6,27.2,28.4,+1.00,2918,94.07,70.72
2011/12/28,5367037,152134747,27.9,28.55,27.85,28.45,+0.05,1791,94.74,78.73
2011/12/29,2863314,80152616,28.25,28.25,27.75,27.95,-0.50,974,85.96,81.14
2011/12/30,5288765,145144752,28.25,28.3,26.8,27.5,-0.45,1770,76.19,79.49
2012/01/02,2380200,64913170,27.3,27.6,26.8,27.6,+0.10,1069,67.61,75.53
2012/01/03,3664758,103154074,27.6,28.5,27.6,28.35,+0.75,1216,85.96,79.00
2012/01/04,4263314,122969642,28.5,29.2,28.35,28.7,+0.35,1328,83.05,80.35
2012/01/05,2327700,66755768,28.7,28.95,28.35,28.6,-0.10,1046,77.78,79.50
2012/01/06,4490243,131099645,28.85,29.6,28.7,28.75,+0.15,1343,69.64,76.21
2012/01/09,3913160,110276330,28.6,28.75,27.85,28.0,-0.75,1242,42.86,65.10
2012/01/10,2868204,81842164,28.0,29.0,27.9,28.5,+0.50,1006,60.71,63.64
2012/01/11,8705286,261545705,28.7,30.45,28.7,30.45,+1.95,2275,100.00,75.76
2012/01/12,8640712,271435672,30.75,32.25,30.1,31.1,+0.65,2686,78.90,76.81
2012/01/13,6632056,210879536,31.9,32.3,31.15,31.3,+0.20,3034,78.72,77.45
2012/01/16,3741600,116312430,31.9,32.0,30.7,31.1,-0.20,1397,73.03,75.97
2012/01/17,8440868,276689807,31.0,33.25,31.0,33.25,+2.15,2342,100.00,83.98
2012/01/18,9467266,330150551,33.15,35.55,32.9,35.0,+1.75,2806,92.86,86.94
2012/01/30,44101527,1558850247,36.0,37.45,35.0,35.5,+0.50,2430,79.69,84.52
2012/01/31,7449239,262530430,35.6,36.6,34.5,35.5,0.00,2364,79.58,82.88
2012/02/01,6510599,228869683,35.4,35.75,34.45,35.4,-0.10,2312,76.57,80.77
2012/02/02,8906140,327790463,36.0,37.5,35.5,37.0,+1.60,3133,93.24,84.93
2012/02/03,7180800,255856179,36.8,36.8,34.75,36.0,-1.00,2736,77.94,82.60
2012/02/04,5680526,207970398,36.0,37.1,35.5,36.5,+0.50,2201,85.29,83.50
2012/02/06,2368272,86246903,36.8,36.8,35.65,36.0,-0.50,1070,76.92,81.31
2012/02/07,5225682,194140241,36.1,37.7,36.0,37.6,+1.60,1859,97.92,86.85
2012/02/08,6745209,258435802,38.0,39.4,37.5,37.85,+0.25,2798,68.69,80.80
2012/02/09,3820401,141552964,37.95,37.95,36.5,37.35,-0.50,1783,58.59,73.40
2012/02/10,2103702,77721425,37.4,37.6,36.4,37.35,0.00,834,58.59,68.46
2012/02/13,3300667,123717710,37.1,37.95,36.8,37.5,+0.15,1270,59.14,65.35
2012/02/14,2804500,103681872,38.0,38.0,36.7,36.7,-0.80,1253,41.94,57.55
2012/02/15,11718553,446150573,37.0,39.0,36.7,38.5,+1.80,3225,76.92,64.01
2012/02/16,9527710,365913299,38.0,39.45,37.0,37.15,-1.35,3036,39.47,55.83
2012/02/17,7424650,276560744,38.3,38.7,36.3,37.1,-0.05,2708,31.88,47.85
2012/02/20,7619562,291062858,37.5,38.7,37.3,38.35,+1.25,2476,65.08,53.59
2012/02/21,8369099,317184045,38.4,38.7,37.05,37.05,-1.30,2888,23.81,43.67
2012/02/22,6073586,226596216,37.2,37.8,37.0,37.0,-0.05,2691,22.22,36.52
