ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,RSV,K9
1999/01/05,,,6310.41,6310.41,6111.64,6152.43,,,97.5,50
1999/01/06,,,6082.02,6280.93,5988.06,6199.91,,,98.25,50
1999/01/07,,,6280.38,6409.55,6181.62,6404.31,,,99.920000000000002,50
1999/01/08,,,6371.34,6492.87,6371.34,6421.75,,,98.900000000000006,50
1999/01/11,,,6472.02,6492.9,6392.49,6406.99,,,98.680000000000007,50
1999/01/12,,,6429.54,6441.79,6357.11,6363.89,,,98.010000000000005,50
1999/01/13,,,6293.59,6365.6,6292.55,6319.34,,,97.329999999999998,50
1999/01/14,,,6295.99,6295.99,6187.32,6241.32,,,96.129999999999995,50
1999/01/15,,,6190.95,6454.6,6176.09,6454.6,,,92.409999999999997,50
1999/01/16,,,6529.77,6577.92,6483.3,6483.3,,,83.959999999999994,61.32
1999/01/18,,,6436.17,6477.44,6377.25,6377.25,,,50.060000000000002,57.57
1999/01/19,,,6358.88,6421.78,6323.89,6343.36,,,41.630000000000003,52.26
1999/01/20,,,6355.15,6360.75,6292.0,6310.71,,,33.5,46.01
1999/01/21,,,6332.68,6424.54,6330.65,6332.2,,,38.850000000000001,43.62
1999/01/22,,,6303.86,6328.31,6221.24,6228.95,,,13.15,33.46
1999/01/25,,,6142.73,6161.8,6018.98,6033.21,,,2.5499999999999998,23.16
1999/01/26,,,6083.57,6115.64,5987.42,6115.64,,,21.710000000000001,22.68
1999/01/27,,,6161.78,6204.46,6129.4,6138.87,,,25.649999999999999,23.67
1999/01/28,,,6110.82,6145.77,6059.54,6063.41,,,15.51,20.95
1999/01/29,,,6090.44,6090.44,5975.48,5984.0,,,1.8999999999999999,14.60
1999/01/30,,,5949.45,6076.41,5949.45,5998.32,,,10.289999999999999,13.16
1999/02/01,,,5948.35,5948.35,5862.79,5862.79,,,0.0,8.77
1999/02/02,,,5892.93,5892.93,5726.25,5749.64,,,3.8799999999999999,7.14
1999/02/03,,,5658.01,5772.89,5596.58,5743.86,,,24.23,12.84
1999/02/04,,,5711.8,5747.47,5511.85,5514.89,,,0.44,8.71
1999/02/05,,,5506.55,5625.65,5422.66,5474.79,,,6.6699999999999999,8.03
1999/02/06,,,5572.69,5710.18,5515.67,5710.18,,,39.759999999999998,18.60
1999/02/08,,,5784.14,5869.15,5757.61,5822.98,,,59.950000000000003,32.38
1999/02/09,,,5798.92,5798.92,5723.73,5723.73,,,46.049999999999997,36.94
1999/02/10,,,5669.23,5811.33,5669.23,5798.0,,,71.400000000000006,48.43
1999/02/20,,,6040.57,6086.76,5977.01,6072.33,,,97.829999999999998,64.90
1999/02/22,,,6216.01,6343.84,6168.94,6313.63,,,96.719999999999999,75.51
1999/02/23,,,6383.04,6383.04,6180.94,6180.94,,,78.959999999999994,76.66
1999/02/24,,,6167.84,6267.12,6158.35,6238.87,,,84.989999999999995,79.44
1999/02/25,,,6291.89,6362.31,6240.82,6275.53,,,87.609999999999999,82.16
1999/02/26,,,6256.8,6318.52,6225.94,6318.52,,,90.959999999999994,85.09
1999/03/01,,,6324.4,6345.93,6276.4,6312.25,,,90.079999999999998,86.76
1999/03/02,,,6343.3,6343.3,6228.53,6263.54,,,83.260000000000005,85.59
1999/03/03,,,6262.69,6420.91,6262.69,6403.14,,,96.0,89.06
1999/03/04,,,6460.58,6467.51,6385.7,6393.74,,,76.140000000000001,84.75
1999/03/05,,,6426.21,6457.94,6339.99,6383.09,,,72.689999999999998,80.73
1999/03/06,,,6478.34,6498.05,6416.82,6421.73,,,77.530000000000001,79.66
1999/03/08,,,6436.97,6436.97,6388.51,6431.96,,,75.709999999999994,78.35
