2017,25.8,47,52.3,50.3,-2,-3.8,23.2,27.3,23,75.8,9.21,10.1,2.93,1.07,103,39.8,42,-,1.22,43.6,59.2,23.45
2016,25.8,47,38.2,52.3,+14.1,+36.9,22,31.3,22.7,77.6,8.98,10,3.34,1.02,105,40.7,43.8,-,1.14,45.3,59.4,23.82
2015,25.8,47,51.4,38.2,-13.2,-25.7,22.2,25.5,24.1,74.2,9.39,10.3,3.57,1.06,102,40.2,43.2,-,0.94,44.6,57.5,23.05
2014,25.8,45,93,51.4,-41.6,-44.7,19.4,26.5,30,79.4,8.18,12.2,0.18,1.17,104,37.8,45.8,-,0.99,46.8,57.7,22.33
2013,25.8,45,95.1,93,-2.1,-2.2,13.5,28.3,33.8,81.3,6.8,13.5,0.12,1.31,105,38.2,43.1,-,0.98,44,61.3,23.75
2012,25.7,49,92.8,95.1,+2.3,+2.5,28.6,30.2,26.5,87.7,4.46,6.41,-,7.96,107,48.9,51.2,0,0.49,51.7,54.9,21.34
2011,25.5,51,59,92.8,+33.8,+57.3,26.1,30.5,17.5,75.9,3.78,6.39,-,6.78,92.8,39.3,41,0,0.35,41.3,51.5,20.12
2010,25.3,51,48.1,59,+10.9,+22.7,27.1,17.5,16,63.7,3.38,6.17,-,5.35,78.6,27.4,31.4,0,0.44,31.8,46.8,18.46
2009,24.9,-,31.5,48.1,+16.6,+52.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.04
2008,24.5,-,40.2,31.5,-8.7,-21.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.01
2007,23.1,51,27.95,40.2,+12.25,+43.8,9.6,17.9,14,42.4,2.99,7.81,-,4.64,57.8,17.6,19.8,0,0.43,20.2,37.6,16.22
2006,22.4,34,17.4,27.95,+10.55,+60.6,5.38,21.1,15.3,44.2,0.13,9.47,0,5,58.8,20.4,23.4,5.2,0.74,29.4,29.4,13.45
2005,22.3,28,11.95,17.4,+5.45,+45.6,3.81,18.2,20,44.5,0.34,13.1,0.01,1.83,59.8,22.8,27.4,5.38,0.86,33.7,26.1,12.11
2004,22.3,-,21.1,11.95,-9.15,-43.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.43
2003,21,-,29.4,21.1,-8.3,-28.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.17
2002,18.7,-,40.8,29.4,-11.4,-27.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.19
2001,16.2,-,29.9,40.8,+10.9,+36.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.35
2000,13.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.48
1999,10.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.1
1998,9.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.86
1997,8.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.23
1996,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.53
