2017,1222,44,17.2,19.55,+2.35,+13.7,660,5827,15804,4358,273,4.44,43.3,26341,3109,20169,306,592,24420,1921,15.7
2016,1198,44,15.3,17.2,+1.9,+12.4,621,5717,15441,3924,274,4.17,34.6,25412,2462,19735,450,652,23491,1920,16.01
2015,1146,47,18.65,15.3,-3.35,-18,481,5730,14802,4125,277,4.11,43.5,25001,2497,19472,448,517,23121,1880,16.37
2014,926,47,18.55,18.65,+0.1,+0.5,623,4525,14973,3718,283,4.3,38.2,23557,2393,18233,494,706,22013,1544,16.63
2013,865,44,17.7,18.55,+0.85,+4.8,567,4383,14311,3597,285,3.46,38.4,22634,2419,17319,524,704,21222,1412,16.26
2012,813,44,17.75,17.7,-0.05,-0.3,541,2576,14378,3845,271,2.6,113,21185,2504,16223,503,469,19841,1345,16.48
2011,767,41,26.85,17.75,-9.1,-33.9,480,2625,13574,4241,264,1.66,104,20810,2585,16114,348,354,19536,1274,16.53
2010,648,41,19.85,26.85,+7,+35.3,298,2432,12584,5099,237,2.61,134,20489,2693,16090,343,158,19421,1067,16.37
2009,632,34,17.25,19.85,+2.6,+15.1,239,3164,10960,5102,236,3.68,139,19606,2992,15158,184,134,18587,1019,15.99
2008,616,38,23.95,17.25,-6.7,-28,278,2929,11605,3082,241,5.4,139,18001,2739,13836,199,108,17000,1001,16.13
2007,609,50,24.75,23.95,-0.8,-3.2,203,2436,10709,2989,245,4.41,161,16545,2516,12557,301,100,15484,1061,17.25
2006,597,50,23.5,24.75,+1.25,+5.3,392,2620,9720,3221,243,3.88,202,16009,2439,12145,296,107,14997,1012,16.94
2005,583,59,27.2,23.5,-3.7,-13.6,385,5195,8992,697,249,2.19,219,15354,1769,12494,147,27.8,14441,913,15.68
2004,555,50,23.7,27.2,+3.5,+14.8,299,5346,8485,665,268,3.18,257,15025,1788,12150,186,119,14244,782,14.09
2003,555,30,24.6,23.7,-0.9,-3.7,2213,5014,8519,601,281,2.73,369,14787,1960,11899,134,109,14104,683,12.31
2002,-,-,21.6,23,+1.4,+6.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,20.7,21.6,+0.9,+4.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,39.1,20.7,-18.4,-47.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,45,39.1,-5.9,-13.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998,-,-,90,45,-45,-50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997,-,-,166,90,-76,-45.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1996,-,-,99.5,166,+66.5,+66.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1995,-,-,188,99.5,-88.5,-47.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1994,-,-,216,188,-28,-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1993,-,-,84,216,+132,+157.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1992,-,-,162,84,-78,-48.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991,-,-,287,162,-125,-43.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
