2017,19.4,26,6.1,5.84,+1.04,+20.6,28.7,0.56,-1.09,0.02,-1.1,1.95,-3.8,0.06,-3.84,-6.64,-3.2,-0.58,-0.69,8.33
2016,19.4,36,5.06,4.54,+0.7,+16.1,29.4,2.1,0.38,-0.04,0.21,7.15,1.31,-0.13,0.73,1.22,0.58,0.11,-0.9,9.19
2015,19.4,32,4.36,5.57,-1.19,-21.4,34.9,0.73,-1.35,4.92,1.92,2.09,-3.87,14.1,5.49,11.5,4.93,1.01,+2.01,9.29
2014,19.4,17,5.55,6.02,-0.07,-1.2,38.3,0.68,-1.61,-0.68,-1.9,1.77,-4.19,-1.76,-4.94,-11.4,-5.12,-1,-1.02,8.27
2013,19.4,30,5.62,5.71,+0.07,+1.3,34.1,0.85,-1.1,0.98,0.03,2.5,-3.23,2.86,0.1,0.19,0.09,0.02,-0.05,9.22
2012,19.4,32,5.55,4.59,+1.95,+54.2,43.1,1.8,-0.09,0.27,0.13,4.18,-0.22,0.64,0.29,0.73,0.35,0.07,+1.09,9.22
2011,19.4,17,3.6,5.95,-3.37,-48.4,52.6,0.32,-1.57,-0.63,-1.94,0.6,-2.99,-1.19,-3.7,-10.8,-5.15,-1.02,-0.64,9.07
2010,19.4,21,6.97,6.96,-0.36,-4.9,51.6,1.58,-0.64,-0.47,-0.72,3.06,-1.24,-0.9,-1.46,-3.88,-2.01,-0.38,-0.07,10
2009,19.4,23,7.33,5.51,+3.12,+74.1,40,2.15,-0.12,-0.41,-0.59,5.37,-0.29,-1.02,-1.56,-3.04,-1.62,-0.31,+0.98,10.58
2008,19.4,26,4.21,7.72,-4.39,-51,80.4,3.32,0.83,-3.7,-2.45,4.13,1.04,-4.6,-3.18,-11.6,-5.42,-1.29,-0.55,11.03
2007,18.5,17,8.6,12.8,-9.1,-51.4,75.7,1.55,-1.14,-0.63,-1.34,2.05,-1.5,-0.83,-1.77,-5.64,-2.32,-0.74,-1.67,12.74
2006,17.7,30,17.7,11.3,+9.04,+104,73.7,5.43,3.16,-1.45,1.3,7.37,4.29,-1.97,1.76,5.93,2.51,0.93,+0.2,14.13
2005,13.2,30,8.66,9.74,-3.39,-28.1,46.9,3.35,1.29,-0.01,0.94,7.14,2.74,-0.01,2,4.92,2.44,0.73,-0.18,15.21
2004,12.8,30,12.05,12.7,+0.55,+4.8,42.1,3.63,1.94,-0.41,1.13,8.62,4.62,-0.98,2.69,6.18,3.42,0.91,+0.9,15.09
2003,12.2,32,11.5,10.2,+1.8,+18.6,27,1.52,-0.05,0.06,0.01,5.61,-0.17,0.23,0.03,0.05,0.03,0.01,-0.76,14.73
2002,11.1,38,9.7,10.2,+4.99,+106,24.3,2.58,1.17,-0.13,0.83,10.6,4.83,-0.53,3.4,4.64,3.1,0.77,+1.28,16.3
2001,10.1,32,4.71,5.92,-3.69,-43.9,16.8,1.32,0.03,-0.56,-0.53,7.9,0.18,-3.34,-3.14,-2.98,-2.07,-0.51,-1.15,17.31
2000,10.2,43,8.4,17,-4.2,-33.3,17.5,1.62,0.45,0.04,0.61,9.25,2.54,0.25,3.47,3.36,2.48,0.64,-0.42,17.57
1999,9.24,43,12.6,14.6,-13.7,-52.1,14.8,2.45,1.28,-0.05,0.98,16.5,8.65,-0.32,6.58,5.35,4.27,1.06,+0.56,19.85
1998,8.8,47,26.3,43.7,-49.7,-65.4,14.3,1.93,1.03,-0.41,0.44,13.5,7.19,-2.87,3.05,2.41,1.89,0.5,-2.96,20.67
1997,7,57,76,93.1,+25,+49,15.2,3.06,2.17,0.11,1.94,20.1,14.3,0.75,12.8,10.7,8.06,3.46,-1.14,25.85
1996,4.11,-,-,-,-,-,-,-,-,-,1.89,-,-,-,-,-,-,4.6,+1,16.29
1995,3.01,-,-,-,-,-,-,-,-,-,1.08,-,-,-,-,-,-,3.6,+0.68,16.46
1994,3.01,-,-,-,-,-,-,-,-,-,0.88,-,-,-,-,-,-,2.92,-,13.45
1993,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1992,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
