ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,RSV,K9
2017/08/22,91000,1824830,20.02,20.1,20.0,20.05,X0.00,54,99.75,50
2017/08/23,10000,200360,20.0,20.04,20.0,20.04,-0.01,10,99.7,50
2017/08/24,15000,300700,20.06,20.06,20.04,20.04,0.00,15,99.7,50
2017/08/25,17000,340850,20.05,20.05,20.05,20.05,+0.01,17,99.75,50
2017/08/28,9000,180510,20.07,20.07,20.05,20.05,0.00,9,99.75,50
2017/08/29,2000,40000,20.0,20.0,20.0,20.0,-0.05,2,99.5,50
2017/08/30,1000,20030,20.03,20.03,20.03,20.03,+0.03,1,99.65,50
2017/08/31,4000,80110,20.03,20.03,20.02,20.02,-0.01,3,99.6,50
2017/09/01,7000,140570,20.06,20.09,20.06,20.09,+0.07,6,90.0,50
2017/09/04,4000,80260,20.08,20.08,20.06,20.06,-0.03,3,66.67,55.56
2017/09/05,2000,40100,20.05,20.05,20.05,20.05,-0.01,2,55.56,55.56
2017/09/06,1000,20010,20.01,20.01,20.01,20.01,-0.04,1,11.11,40.74
2017/09/08,3000,60030,20.01,20.01,20.01,20.01,X0.00,3,11.11,30.86
2017/09/11,2000,39960,19.98,19.98,19.98,19.98,-0.03,2,0.0,20.57
2017/09/12,1000,19980,19.98,19.98,19.98,19.98,0.00,1,0.0,13.71
2017/09/13,1000,19980,19.98,19.98,19.98,19.98,0.00,1,0.0,9.14
2017/09/14,1000,20040,20.04,20.04,20.04,20.04,+0.06,1,54.55,24.28
2017/09/15,2000,40210,20.09,20.12,20.09,20.12,+0.08,2,100.0,49.52
2017/09/18,3000,60060,20.02,20.02,20.02,20.02,-0.10,2,28.57,42.54
2017/09/19,14000,280980,20.07,20.07,20.07,20.07,+0.05,5,64.29,49.79
2017/09/20,11000,220700,20.1,20.1,20.06,20.06,-0.01,2,57.14,52.24
2017/09/21,1000,20100,20.1,20.1,20.1,20.1,+0.04,1,85.71,63.4
2017/09/22,1000,20180,20.18,20.18,20.18,20.18,+0.08,1,100.0,75.6
2017/09/25,1000,20110,20.11,20.11,20.11,20.11,-0.07,1,65.0,72.07
2017/09/26,70000,1401500,20.07,20.07,20.02,20.02,-0.09,6,0.0,48.05
2017/09/27,188000,3768280,20.03,20.09,20.02,20.02,0.00,13,0.0,32.03
2017/09/28,4784000,96157600,20.06,20.06,20.06,20.06,+0.04,2,25.0,29.69
2017/09/30,1000,20100,20.1,20.1,20.1,20.1,X0.00,1,50.0,36.46
2017/10/02,145000,2920050,20.1,20.15,20.09,20.15,+0.05,5,81.25,51.39
2017/10/03,4000,80980,20.23,20.25,20.23,20.25,+0.10,2,100.0,67.59
2017/10/05,104000,2103900,20.21,20.23,20.21,20.23,-0.02,3,91.3,75.49
2017/10/06,20000,404200,20.21,20.21,20.21,20.21,-0.02,1,82.61,77.86
2017/10/11,21000,424630,20.22,20.23,20.22,20.23,+0.02,3,91.3,82.34
2017/10/12,1000,20120,20.12,20.12,20.12,20.12,-0.11,1,43.48,69.39
2017/10/13,1000,20090,20.09,20.09,20.09,20.09,-0.03,1,15.79,51.52
2017/10/16,23000,461380,20.06,20.06,20.06,20.06,-0.03,2,0.0,34.35
2017/10/17,41000,824910,20.11,20.12,20.11,20.12,+0.06,3,31.58,33.43
2017/10/18,1000,20160,20.16,20.16,20.16,20.16,+0.04,1,52.63,39.83
2017/10/19,20000,404000,20.2,20.2,20.2,20.2,+0.04,1,82.35,54.0
2017/10/20,20000,404000,20.2,20.2,20.2,20.2,0.00,1,82.35,63.45
2017/10/23,4741000,96147440,20.24,20.28,20.24,20.28,+0.08,27,100.0,75.63
2017/10/24,4779000,96774940,20.27,20.27,20.24,20.25,-0.03,27,86.36,79.21
2017/10/25,336000,6814080,20.28,20.28,20.28,20.28,+0.03,5,100.0,86.14
2017/10/26,85000,1715030,20.23,20.23,20.15,20.15,X0.00,6,40.91,71.06
2017/10/27,100000,2016000,20.16,20.16,20.16,20.16,+0.01,1,29.41,57.18
2017/10/30,4743000,95427960,20.11,20.12,20.11,20.12,-0.04,29,5.88,40.08
2017/10/31,71000,1427660,20.1,20.12,20.1,20.11,-0.01,3,5.56,28.57
2017/11/01,1000,20080,20.08,20.08,20.08,20.08,-0.03,1,0.0,19.05
2017/11/02,3000,60390,20.13,20.13,20.13,20.13,+0.05,3,25.0,21.03
2017/11/03,2000,40320,20.16,20.16,20.16,20.16,+0.03,1,40.0,27.35
2017/11/06,10000,201100,20.11,20.11,20.11,20.11,-0.05,1,15.0,23.23
2017/11/07,1000,20120,20.12,20.12,20.12,20.12,+0.01,1,26.67,24.38
2017/11/08,9000,180850,20.11,20.11,20.06,20.06,-0.06,4,0.0,16.25
2017/11/09,2302000,46109040,20.02,20.03,20.02,20.03,-0.03,14,7.14,13.21
2017/11/10,1000,20000,20.0,20.0,20.0,20.0,-0.03,1,0.0,8.81
2017/11/13,1000,20000,20.0,20.0,20.0,20.0,0.00,1,0.0,5.87
2017/11/14,2000,39980,19.99,19.99,19.99,19.99,-0.01,2,0.0,3.91
2017/11/15,20000,398600,19.93,19.93,19.93,19.93,-0.06,1,0.0,2.61
2017/11/16,2000,39760,19.88,19.88,19.88,19.88,-0.05,2,0.0,1.74
2017/11/17,4000,79880,19.97,19.97,19.97,19.97,+0.09,1,37.5,13.66
2017/11/20,1000,19950,19.95,19.95,19.95,19.95,-0.02,1,30.43,19.25
2017/11/21,10000,199500,19.95,19.95,19.95,19.95,0.00,1,46.67,28.39
2017/11/22,24000,477630,19.93,19.93,19.9,19.9,-0.05,4,16.67,24.48
2017/11/23,20000,397400,19.87,19.87,19.87,19.87,-0.03,1,0.0,16.32
2017/11/24,1000,19850,19.85,19.85,19.85,19.85,-0.02,1,0.0,10.88
2017/11/28,20000,397800,19.89,19.89,19.89,19.89,X0.00,1,33.33,18.36
2017/11/29,20000,398000,19.9,19.9,19.9,19.9,+0.01,1,41.67,26.13
2017/12/01,1000,19910,19.91,19.91,19.91,19.91,X0.00,1,50.0,34.09
2017/12/04,1000,19940,19.94,19.94,19.94,19.94,+0.03,1,90.0,52.73
2017/12/05,44000,877120,19.95,19.95,19.92,19.93,-0.01,4,80.0,61.82
2017/12/08,1000,19940,19.94,19.94,19.94,19.94,X0.00,1,90.0,71.21
2017/12/11,3000,59840,19.96,19.96,19.94,19.94,0.00,3,81.82,74.75
2017/12/12,1000,19910,19.91,19.91,19.91,19.91,-0.03,1,54.55,68.02
2017/12/13,1000,19900,19.9,19.9,19.9,19.9,-0.01,1,14.29,50.11
2017/12/14,10000,199100,19.91,19.91,19.91,19.91,+0.01,2,16.67,38.96
2017/12/15,15000,298670,19.91,19.93,19.91,19.93,+0.02,3,50.0,42.64
2017/12/18,10000,198700,19.87,19.87,19.87,19.87,-0.06,1,0.0,28.43
2017/12/19,5000,99350,19.87,19.87,19.87,19.87,0.00,1,0.0,18.95
2017/12/20,2000,39860,19.93,19.93,19.93,19.93,+0.06,1,66.67,34.86
2017/12/21,2000,39680,19.84,19.84,19.84,19.84,-0.09,1,0.0,23.24
2017/12/22,2000,39830,19.93,19.93,19.9,19.9,+0.06,2,66.67,37.72
2017/12/27,10000,198600,19.86,19.86,19.86,19.86,X0.00,2,22.22,32.55
2017/12/29,41000,812750,19.84,19.84,19.75,19.75,X0.00,3,0.0,21.7
2018/01/02,1000,19720,19.72,19.72,19.72,19.72,-0.03,1,0.0,14.47
2018/01/03,1000,19700,19.7,19.7,19.7,19.7,-0.02,1,0.0,9.65
2018/01/10,1000,19780,19.78,19.78,19.78,19.78,X0.00,1,34.78,18.03
2018/01/11,48001000,950419740,19.74,19.74,19.74,19.74,-0.04,2,17.39,17.82
2018/01/12,1000,19820,19.82,19.82,19.82,19.82,+0.08,1,52.17,29.27
2018/01/15,47000,931620,19.79,19.85,19.79,19.8,-0.02,4,43.48,34.01
2018/01/16,2000,39500,19.75,19.75,19.75,19.75,-0.05,1,31.25,33.09
2018/01/17,3000,59390,19.8,19.8,19.79,19.79,+0.04,3,60.0,42.06
2018/01/18,48001000,950419780,19.78,19.78,19.78,19.78,-0.01,2,53.33,45.82
2018/01/19,69000,1359450,19.71,19.71,19.67,19.67,-0.11,5,0.0,30.55
2018/01/22,4000,78340,19.58,19.64,19.56,19.56,-0.11,4,0.0,20.37
2018/01/23,23000,449390,19.54,19.54,19.51,19.51,-0.05,3,0.0,13.58
2018/01/25,48001000,937939460,19.46,19.46,19.46,19.46,X0.00,2,0.0,9.05
2018/01/31,1000,19510,19.51,19.51,19.51,19.51,X0.00,1,12.82,10.31
2018/02/01,40000,778000,19.45,19.45,19.45,19.45,-0.06,2,0.0,6.87
2018/02/02,24001000,468019470,19.47,19.47,19.47,19.47,+0.02,2,5.71,6.48
2018/02/06,22000,427620,19.44,19.44,19.41,19.41,X0.00,3,0.0,4.32
