ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,RSV,K9
1992/01/04,1303000,78053000,60.0,60.5,59.0,59.5,0.00,434,98.35,50
1992/01/06,914000,55189500,59.5,61.0,59.5,60.5,1.00,366,99.18,50
1992/01/07,1065574,65042366,61.5,61.5,60.5,60.5,0.00,384,98.37,50
1992/01/08,1389193,85204387,61.0,62.0,61.0,61.5,1.00,418,99.19,50
1992/01/09,973000,59797500,61.0,62.0,61.0,61.5,0.00,319,99.19,50
1992/01/10,1901774,118095440,61.5,63.0,61.0,61.0,-0.50,518,96.83,50
1992/01/11,718750,44413125,62.0,62.5,61.0,62.5,1.50,215,99.21,50
1992/01/13,1343000,83622500,63.0,63.0,61.0,63.0,0.50,398,100.0,50
1992/01/14,705072,44026892,63.0,63.5,62.0,63.0,0.00,327,88.89,50
1992/01/15,1742174,110280114,63.0,64.0,62.5,63.0,0.00,599,77.78,59.26
1992/01/16,741455,46704255,63.0,64.0,62.5,63.0,0.00,312,71.43,63.32
1992/01/17,888300,55999450,63.0,63.5,62.0,62.0,-1.00,349,33.33,53.32
1992/01/18,675466,41515192,62.0,62.0,61.0,62.0,0.00,219,33.33,46.66
1992/01/20,1060000,66503500,62.5,63.5,61.5,63.0,1.00,404,66.67,53.33
1992/01/21,989995,62623190,63.5,64.0,63.0,63.0,0.00,419,66.67,57.78
1992/01/22,2972315,190109372,63.5,65.0,63.0,63.0,0.00,887,50.0,55.19
1992/01/23,1009400,62986100,63.0,63.5,61.0,63.0,0.00,379,50.0,53.46
1992/01/24,1025603,64741479,63.0,63.5,62.5,63.0,0.00,362,50.0,52.31
1992/01/25,1985400,127548100,63.5,65.0,63.5,64.0,1.00,789,75.0,59.87
1992/01/27,2728000,179107500,64.5,66.5,64.5,65.5,1.50,1068,81.82,67.19
1992/01/28,1079999,69545433,66.0,66.0,64.0,64.5,-1.00,475,63.64,66.01
1992/01/29,1077500,69479250,64.0,65.0,64.0,64.5,0.00,376,63.64,65.22
1992/01/30,1853900,120655700,65.0,65.5,64.5,65.5,1.00,715,81.82,70.75
1992/02/07,1111000,71709000,65.0,65.5,62.5,62.5,-3.00,395,27.27,56.26
1992/02/08,1174342,74613362,63.0,64.5,62.5,64.5,2.00,504,63.64,58.72
1992/02/10,757000,48537500,64.5,65.0,63.5,63.5,-1.00,323,25.0,47.48
1992/02/11,1229005,77490810,63.5,64.5,62.0,62.5,-1.00,411,11.11,35.36
1992/02/12,530250,33181750,63.0,63.0,62.0,63.0,0.50,201,22.22,30.98
1992/02/13,822338,51438947,62.0,63.5,62.0,62.5,-0.50,258,12.5,24.82
1992/02/14,667150,41409650,62.0,63.0,61.0,62.0,-0.50,198,22.22,23.95
1992/02/15,537405,32847800,61.0,62.0,60.5,62.0,0.00,163,30.0,25.97
1992/02/17,880000,52539000,61.5,62.0,58.5,59.5,-2.50,264,14.29,22.08
1992/02/18,381306,22305748,59.0,60.0,58.0,58.0,-1.50,205,0.0,14.72
1992/02/19,802103,46486819,58.5,59.0,57.0,59.0,1.00,232,25.0,18.15
1992/02/20,1049200,62851900,59.5,61.0,59.0,60.5,1.50,382,46.67,27.66
1992/02/21,455700,27283450,60.5,60.5,59.0,59.0,-1.50,188,30.77,28.7
1992/02/22,368034,21972954,59.5,60.0,59.0,60.0,1.00,162,46.15,34.52
1992/02/24,651000,38934000,60.0,60.5,59.5,60.0,0.00,226,50.0,39.68
