006201,元大富櫃50,13.22,0.00 ,13.22,13.24,13.22,13.22,"11,000","145,450",9,13.16,13.20,"15,946,000",13.22,14.54,11.90
00679B,元大美債20年,37.97,-0.04 ,38.06,38.06,37.93,37.95,"407,000","15,445,850",54,37.96,37.97,"792,192,000",37.97,9999.95,0.01
00687B,國泰20年美債,39.44,-0.02 ,39.44,39.45,39.44,39.44,"352,000","13,884,380",6,39.44,39.46,"321,787,000",39.44,9999.95,0.01
00694B,富邦美債1-3,40.60,+0.05,40.55,40.61,40.55,40.58,"593,416","24,083,544",13,40.57,40.60,"52,576,000",40.60,9999.95,0.01
00695B,富邦美債7-10,39.51,+0.14,39.37,39.51,39.37,39.42,"326,000","12,850,010",9,39.32,39.53,"115,186,000",39.51,9999.95,0.01
00696B,富邦美債20年,40.12,+0.08,39.98,40.12,39.97,39.97,"403,000","16,109,210",8,39.86,40.22,"161,181,000",40.12,9999.95,0.01
00697B,元大美債7-10,38.95,+0.18,38.89,38.95,38.85,38.89,"544,000","21,154,840",11,38.90,39.00,"31,212,000",38.95,9999.95,0.01
00718B,富邦中國政策債,20.26,+0.04,20.22,20.26,20.22,20.25,"265,000","5,365,580",17,20.24,20.26,"940,001,000",20.26,9999.95,0.01
00719B,元大美債1-3,31.70,+0.05,31.69,31.70,31.69,31.70,"400,000","12,678,000",4,0.10,0.00,"3,514,000",31.70,9999.95,0.01
00720B,元大投資級公司債,39.06,+0.02,39.08,39.08,39.05,39.05,"412,000","16,090,630",7,39.04,39.11,"165,609,000",39.06,9999.95,0.01
00721B,元大中國債3-5,45.69,+0.09,45.75,45.75,45.66,45.67,"403,000","18,405,140",7,45.63,47.50,"324,622,000",45.69,9999.95,0.01
00722B,群益15年IG電信債,39.67,+0.17,39.66,39.67,39.66,39.67,"200,000","7,933,000",10,39.58,39.71,"125,239,000",39.67,9999.95,0.01
00723B,群益15年IG科技債,38.64,+0.07,38.63,38.64,38.63,38.64,"200,000","7,727,000",8,38.50,38.68,"498,583,000",38.64,9999.95,0.01
00724B,群益10年IG金融債,37.72,+0.03,37.71,37.72,37.70,37.71,"203,000","7,656,130",21,37.63,37.76,"601,775,000",37.72,9999.95,0.01
00725B,國泰投資級公司債,39.90,0.00 ,39.87,39.95,39.87,39.90,"7,000","279,320",3,39.89,40.30,"116,706,000",39.90,9999.95,0.01
00726B,國泰5Y+新興債,41.05,0.00 ,41.05,41.05,41.05,41.05,"1,000","41,050",1,40.50,41.01,"3,989,000",41.05,9999.95,0.01
00727B,國泰1-5Y高收債,43.45,0.00 ,43.45,43.45,43.45,43.45,"2,000","86,900",2,40.00,43.45,"33,689,000",43.45,9999.95,0.01
00734B,台新JPM新興債,20.71,-0.07 ,20.72,20.75,20.69,20.71,"1,004,000","20,791,190",14,20.69,20.73,"41,479,000",20.71,9999.95,0.01
00740B,富邦全球投等債,41.01,+0.31,40.85,41.01,40.80,40.83,"322,000","13,146,020",9,40.68,41.05,"5,971,000",41.01,9999.95,0.01
00741B,富邦全球高收債,41.31,+0.26,41.15,41.31,41.10,41.13,"241,000","9,911,310",9,41.01,41.38,"5,628,000",41.31,9999.95,0.01
00744B,國泰中國政金債5+,40.12,+0.02,40.15,40.15,40.12,40.12,"21,000","842,550",2,40.03,40.12,"194,228,000",40.12,9999.95,0.01
00745B,富邦中政債0-1,39.92,+0.07,39.86,39.95,39.86,39.92,"103,000","4,111,690",8,39.87,39.94,"8,516,000",39.92,9999.95,0.01
00746B,富邦A級公司債,39.70,0.00 ,39.70,39.75,39.70,39.72,"101,000","4,012,200",8,39.66,39.82,"5,464,000",39.70,9999.95,0.01
00747B,FH中國政策債,50.05,+0.13,49.89,50.05,49.89,49.92,"110,000","5,491,420",9,49.82,0.00,"139,500,000",50.05,9999.95,0.01
1240,茂生農經,45.20,-0.55 ,45.50,45.50,44.70,45.05,"20,000","900,900",19,44.60,45.20,"33,000,000",45.20,49.70,40.70
1258,其祥-KY,27.45,0.00 ,27.90,27.90,27.45,27.86,"11,000","306,450",2,27.25,27.45,"36,816,458",27.45,30.15,24.75
1259,安心,75.80,-0.20 ,75.80,76.00,74.40,75.56,"19,100","1,443,200",15,74.90,75.80,"32,389,500",75.80,83.30,68.30
1264,德麥,211.50,-2.00 ,211.00,212.00,211.00,211.71,"8,146","1,724,598",26,212.00,212.50,"33,695,970",211.50,232.50,190.50
1268,漢來美食,141.50,-0.50 ,141.00,142.50,141.00,141.67,"67,088","9,504,320",36,141.50,142.00,"39,273,730",141.50,155.50,127.50
1333,恩得利,2.39,+0.05,2.39,2.39,2.39,2.39,"3,000","7,170",1,2.35,2.43,"74,515,375",2.39,2.62,2.16
1336,台翰,17.20,-0.30 ,17.40,17.40,17.20,17.27,"122,000","2,106,650",44,17.20,17.40,"83,193,419",17.20,18.90,15.50
