006201,元大富櫃50,12.61,+0.09,12.53,12.61,12.52,12.55,"37,000","464,360",20,12.61,12.69,"15,946,000",12.61,13.87,11.35
00679B,元大美債20年,37.93,+0.11,37.85,37.96,37.85,37.93,"390,074","14,794,199",42,37.90,37.93,"794,692,000",37.93,9999.95,0.01
00687B,國泰20年美債,39.46,+0.15,39.40,39.47,39.40,39.42,"15,232,000","600,449,280",23,39.41,39.45,"372,287,000",39.46,9999.95,0.01
00694B,富邦美債1-3,40.60,+0.05,40.59,40.60,40.59,40.59,"600,173","24,363,977",7,40.57,40.63,"52,576,000",40.60,9999.95,0.01
00695B,富邦美債7-10,39.47,+0.13,39.32,39.47,39.32,39.43,"303,475","11,965,711",14,39.33,39.45,"116,686,000",39.47,9999.95,0.01
00696B,富邦美債20年,40.05,+0.15,40.05,40.05,40.05,40.05,"36,300,000","1,453,815,000",4,39.96,40.05,"197,181,000",40.05,9999.95,0.01
00697B,元大美債7-10,38.94,+0.04,39.00,39.00,38.94,38.95,"313,000","12,190,500",5,38.86,38.93,"29,712,000",38.94,9999.95,0.01
00718B,富邦中國政策債,20.24,-0.03 ,20.25,20.25,20.20,20.23,"277,000","5,604,910",35,20.21,20.25,"964,501,000",20.24,9999.95,0.01
00719B,元大美債1-3,31.71,+0.03,31.72,31.72,31.71,31.72,"400,000","12,686,000",4,31.68,31.72,"3,514,000",31.71,9999.95,0.01
00720B,元大投資級公司債,39.25,+0.22,39.25,39.26,39.25,39.25,"401,000","15,741,250",5,39.25,39.28,"180,109,000",39.25,9999.95,0.01
00721B,元大中國債3-5,45.47,0.00 ,45.50,45.50,45.47,45.47,"403,000","18,324,470",7,45.45,45.50,"324,622,000",45.47,9999.95,0.01
00722B,群益15年IG電信債,39.93,+0.17,39.96,39.96,39.92,39.93,"201,000","8,024,960",5,20.00,39.93,"146,739,000",39.93,9999.95,0.01
00723B,群益15年IG科技債,38.74,+0.15,38.65,38.74,38.65,38.73,"201,000","7,785,650",5,0.10,0.00,"498,583,000",38.74,9999.95,0.01
00724B,群益10年IG金融債,37.77,+0.10,37.76,37.77,37.76,37.77,"200,000","7,553,000",4,1.00,37.78,"601,775,000",37.77,9999.95,0.01
00725B,國泰投資級公司債,40.17,+0.13,40.15,40.17,40.15,40.17,"1,004,000","40,330,600",11,40.04,40.15,"118,206,000",40.17,9999.95,0.01
00726B,國泰5Y+新興債,41.05,0.00 ,41.05,41.05,41.00,41.02,"5,000","205,100",5,37.00,41.05,"3,989,000",41.05,9999.95,0.01
00727B,國泰1-5Y高收債,43.52,0.00 ,43.47,43.52,43.46,43.47,"31,000","1,347,450",6,40.00,43.52,"33,689,000",43.52,9999.95,0.01
00734B,台新JPM新興債,20.63,-0.02 ,20.63,20.63,20.60,20.62,"1,012,000","20,870,050",13,20.61,20.66,"41,479,000",20.63,9999.95,0.01
00740B,富邦全球投等債,41.10,+0.30,41.10,41.10,41.10,41.10,"320,000","13,152,000",7,40.83,41.20,"5,971,000",41.10,9999.95,0.01
00741B,富邦全球高收債,41.15,+0.05,41.20,41.20,41.15,41.18,"240,000","9,882,000",6,41.03,41.41,"5,628,000",41.15,9999.95,0.01
00744B,國泰中國政金債5+,39.95,-0.07 ,40.03,40.03,39.95,39.96,"12,502,000","499,579,980",3,39.88,39.95,"206,228,000",39.95,9999.95,0.01
00745B,富邦中政債0-1,39.86,+0.06,39.80,39.86,39.75,39.78,"101,000","4,017,360",7,39.73,39.87,"8,516,000",39.86,9999.95,0.01
00746B,富邦A級公司債,39.80,+0.10,39.85,39.85,39.80,39.83,"100,000","3,982,500",6,39.70,39.90,"5,464,000",39.80,9999.95,0.01
00747B,FH中國政策債, ---,--- ,---,---,---,50.10,0,0,0,49.67,50.25,"177,500,000",0.00,9999.95,0.01
1240,茂生農經,41.20,-0.80 ,42.00,42.00,41.00,41.37,"72,100","2,982,819",33,41.20,41.50,"33,000,000",41.20,45.30,37.10
1258,其祥-KY,27.65,-0.75 ,28.00,28.00,27.65,27.88,"9,000","250,950",3,27.20,27.60,"36,816,458",27.65,30.40,24.90
