006201,元大富櫃50,12.27,-0.07 ,12.34,12.34,12.25,12.27,"120,000","1,472,730",29,12.25,12.27,"16,446,000",12.27,13.49,11.05
00679B,元大美債20年,37.67,-0.09 ,37.67,37.67,37.63,37.65,"594,000","22,363,600",63,37.64,37.67,"800,692,000",37.67,9999.95,0.01
00687B,國泰20年美債,39.11,-0.15 ,39.13,39.15,39.08,39.10,"705,000","27,565,620",21,39.11,39.14,"376,787,000",39.11,9999.95,0.01
00694B,富邦美債1-3,40.58,+0.04,40.54,40.58,40.54,40.56,"313,000","12,695,380",8,40.50,40.58,"52,576,000",40.58,9999.95,0.01
00695B,富邦美債7-10,39.24,-0.01 ,39.18,39.24,39.18,39.18,"325,305","12,746,069",14,39.18,39.25,"116,686,000",39.24,9999.95,0.01
00696B,富邦美債20年,39.74,-0.08 ,39.70,39.74,39.68,39.68,"308,000","12,221,680",9,39.71,39.74,"197,181,000",39.74,9999.95,0.01
00697B,元大美債7-10,38.83,+0.03,38.75,38.83,38.75,38.76,"451,000","17,479,330",5,38.75,38.82,"29,712,000",38.83,9999.95,0.01
00718B,富邦中國政策債,20.25,0.00 ,20.46,20.46,20.21,20.23,"262,458","5,308,984",8,20.22,20.25,"964,501,000",20.25,9999.95,0.01
00719B,元大美債1-3,31.66,+0.05,31.65,31.66,31.65,31.66,"450,000","14,245,000",4,31.62,31.68,"3,514,000",31.66,9999.95,0.01
00720B,元大投資級公司債,39.21,+0.05,39.20,39.21,39.20,39.21,"450,000","17,642,500",4,39.16,39.25,"180,109,000",39.21,9999.95,0.01
00721B,元大中國債3-5,45.42,-0.11 ,45.40,45.45,45.40,45.43,"456,000","20,714,030",8,45.41,45.42,"324,622,000",45.42,9999.95,0.01
00722B,群益15年IG電信債,39.99,-0.07 ,39.98,39.99,39.98,39.99,"200,000","7,997,000",4,39.90,40.06,"167,739,000",39.99,9999.95,0.01
00723B,群益15年IG科技債,38.89,-0.03 ,38.88,38.89,38.88,38.89,"200,000","7,777,000",4,38.77,39.07,"498,583,000",38.89,9999.95,0.01
00724B,群益10年IG金融債,37.86,+0.11,37.85,37.86,37.81,37.84,"252,000","9,535,210",7,37.74,37.86,"601,775,000",37.86,9999.95,0.01
00725B,國泰投資級公司債,40.20,-0.04 ,40.15,40.20,40.15,40.15,"11,000","441,700",2,40.08,40.20,"119,706,000",40.20,9999.95,0.01
00726B,國泰5Y+新興債,41.08,+0.03,41.08,41.08,41.08,41.08,"3,000","123,240",1,40.89,41.08,"3,989,000",41.08,9999.95,0.01
00727B,國泰1-5Y高收債,43.65,+0.05,43.60,43.65,43.60,43.64,"5,000","218,200",4,43.43,43.64,"14,189,000",43.65,9999.95,0.01
00734B,台新JPM新興債,20.72,+0.04,20.63,20.72,20.63,20.71,"1,002,000","20,749,840",13,20.71,20.74,"36,479,000",20.72,9999.95,0.01
00740B,富邦全球投等債,41.34,+0.19,41.15,41.34,41.15,41.18,"321,000","13,217,340",9,41.03,41.40,"5,971,000",41.34,9999.95,0.01
00741B,富邦全球高收債,41.49,+0.19,41.30,41.49,41.30,41.31,"242,000","9,997,380",9,41.21,41.59,"5,628,000",41.49,9999.95,0.01
