006201,元大富櫃50,12.28,-0.07 ,12.35,12.35,12.28,12.30,"74,000","910,340",31,12.27,12.31,"16,446,000",12.28,13.50,11.06
00679B,元大美債20年,36.92,+0.06,36.86,36.92,36.86,36.91,"742,000","27,388,590",248,36.91,36.92,"803,692,000",36.92,9999.95,0.01
00687B,國泰20年美債,38.36,+0.05,38.33,38.36,38.33,38.35,"207,000","7,938,460",6,38.34,38.37,"427,287,000",38.36,9999.95,0.01
00694B,富邦美債1-3,40.32,+0.03,40.37,40.43,40.32,40.37,"323,000","13,039,470",8,40.32,40.43,"52,576,000",40.32,9999.95,0.01
00695B,富邦美債7-10,38.77,+0.05,38.70,38.77,38.70,38.73,"321,318","12,445,344",10,38.71,38.77,"116,686,000",38.77,9999.95,0.01
00696B,富邦美債20年,38.89,+0.05,38.84,38.89,38.84,38.84,"312,000","12,118,580",7,38.76,38.89,"233,181,000",38.89,9999.95,0.01
00697B,元大美債7-10,38.31,-0.02 ,38.30,38.31,38.30,38.30,"450,000","17,237,200",4,38.29,38.35,"55,712,000",38.31,9999.95,0.01
00718B,富邦中國政策債,20.21,-0.01 ,20.21,20.21,20.20,20.21,"214,100","4,326,831",8,20.18,20.25,"964,501,000",20.21,9999.95,0.01
00719B,元大美債1-3,31.52,-0.01 ,31.51,31.52,31.51,31.51,"450,000","14,181,700",4,31.52,31.54,"3,514,000",31.52,9999.95,0.01
00720B,元大投資級公司債,38.77,+0.01,38.76,38.77,38.76,38.76,"450,000","17,444,200",4,38.77,38.84,"183,109,000",38.77,9999.95,0.01
00721B,元大中國債3-5,45.37,-0.02 ,45.35,45.39,45.34,45.35,"451,000","20,455,070",7,45.36,45.45,"324,622,000",45.37,9999.95,0.01
00722B,群益15年IG電信債,39.71,0.00 ,39.71,39.71,39.71,39.71,"200,000","7,942,000",2,39.56,39.86,"167,739,000",39.71,9999.95,0.01
00723B,群益15年IG科技債,38.31,-0.10 ,38.31,38.31,38.31,38.31,"200,000","7,662,000",4,38.26,38.56,"548,583,000",38.31,9999.95,0.01
00724B,群益10年IG金融債,37.58,-0.09 ,37.58,37.58,37.58,37.58,"200,000","7,516,000",4,37.52,37.82,"601,775,000",37.58,9999.95,0.01
00725B,國泰投資級公司債,39.94,-0.01 ,39.94,39.94,39.94,39.94,"1,000","39,940",1,39.84,39.94,"119,706,000",39.94,9999.95,0.01
00726B,國泰5Y+新興債,40.98,-0.02 ,41.00,41.00,40.98,40.99,"3,000","122,960",3,40.84,41.01,"3,989,000",40.98,9999.95,0.01
00727B,國泰1-5Y高收債,43.54,+0.01,43.54,43.54,43.54,43.54,"1,000","43,540",1,43.50,43.70,"14,189,000",43.54,9999.95,0.01
00734B,台新JPM新興債,20.72,0.00 ,20.71,20.72,20.69,20.70,"1,208,000","25,006,130",43,20.68,20.72,"36,479,000",20.72,9999.95,0.01
00740B,富邦全球投等債,40.80,-0.05 ,40.85,40.85,40.80,40.83,"322,000","13,145,700",10,0.10,0.00,"5,971,000",40.80,9999.95,0.01
00741B,富邦全球高收債,41.15,-0.05 ,41.20,41.20,41.15,41.18,"241,000","9,923,200",9,5.00,0.00,"5,628,000",41.15,9999.95,0.01
00744B,國泰中國政金債5+,39.85,-0.22 ,39.91,39.91,39.85,39.85,"51,000","2,032,410",6,39.75,39.89,"218,228,000",39.85,9999.95,0.01
00745B,富邦中政債0-1,39.65,-0.05 ,39.69,39.69,39.65,39.65,"126,000","4,995,940",9,39.55,39.85,"8,516,000",39.65,9999.95,0.01
00746B,富邦A級公司債,39.35,-0.30 ,39.47,39.47,39.35,39.38,"101,000","3,976,970",7,39.32,0.00,"5,464,000",39.35,9999.95,0.01
00747B,FH中國政策債, ---,--- ,---,---,---,49.60,0,0,0,49.41,49.79,"221,000,000",0.00,9999.95,0.01
