18Q1,51.8,43,25.35,22.8,-2.55,-10.1,1.64,0.86,4.23,-7.48,-5.26,0.6,-7.91,-3.25,44.9,37,24.8,0.16
2017,52,36,24.65,25.35,+0.7,+2.8,11.2,6.91,-1.35,-1.65,3.11,-0.58,-0.47,-3,45.3,44.9,-1.61,1.33
2016,51.1,47,13,24.65,+11.65,+89.6,14.5,11,15.5,-2.26,-12.8,-1.33,-0.9,13.2,46.2,45.3,22.3,2.15
2015,51.6,40,19.7,13,-6.7,-34,7.32,2.84,-2.58,-7.54,-4.99,-1.16,-16.3,-10.1,62.5,46.2,-3.66,0.55
2014,52.4,45,22.7,19.7,-3,-13.2,5.89,2.09,17,6.19,-1.51,0.9,22.6,23.2,39.9,62.5,26.1,0.4
2013,51.7,43,27,22.7,-4.3,-15.9,6.9,3.25,9.23,-9.53,2.11,0.73,2.54,-0.3,37.4,39.9,13.9,0.63
2012,50.9,40,23.4,27,+3.6,+15.4,7.99,4.02,0.65,-19.7,6.79,-0.75,-13,-19,50.4,37.4,1,0.79
2011,51.4,36,46.4,23.4,-23,-49.6,1.55,-2.42,1.9,-4.16,-0.98,2.17,-1.07,-2.26,51.5,50.4,3.56,-0.47
2010,50.1,45,58,46.4,-11.6,-20,6.12,3.3,1.4,-3.3,-2.72,-2.16,-6.78,-1.9,58.3,51.5,2.71,0.66
2009,48.9,43,23,58,+35,+152.2,7.58,6.35,18.2,-11.7,-6.64,2.51,2.43,6.56,55.8,58.3,32.2,1.3
2008,46.6,40,71,23,-48,-67.6,10.6,6.81,11,-2.31,-0.6,0.03,8.16,8.73,47.7,55.8,14.1,1.46
2007,44.1,49,100,71,-29,-29,13.5,10.7,13.7,-6.91,10.7,0.26,17.8,6.77,29.9,47.7,20.5,2.43
2006,41.9,49,48.8,100,+51.2,+104.9,9.99,6.83,2.17,-4.88,-1.17,-0.4,-4.28,-2.71,34.2,29.9,6.44,1.63
2005,39.6,49,25,48.8,+23.8,+95.2,10.6,7.84,12.9,-5.82,-0.1,0.65,7.63,7.08,26.5,34.2,30.7,1.98
2004,36,51,21.8,25,+3.2,+14.7,8.28,7.2,10.1,5.58,0.35,-0.82,15.2,15.6,11.4,26.5,35.6,2
2003,34.3,45,18.8,21.8,+3,+16,4.17,3.5,6.43,-2.81,-1.16,-0.5,1.96,3.62,9.41,11.4,31.6,1.02
2002,34.6,49,21,18.8,-2.2,-10.5,2.09,1.45,6.08,-15.8,0.73,-0.06,-9.09,-9.75,18.5,9.41,69.8,0.42
2001,34.4,53,9.8,21,+11.2,+114.3,2.12,1.41,18.9,-6.21,-2.3,0.23,10.6,12.7,7.89,18.5,255,0.41
2000,31.1,38,34,9.8,-24.2,-71.2,2.4,1.56,2.65,-11.9,10.6,1.06,2.41,-9.21,5.98,8.39,20.5,0.5
1999,25.5,26,20.3,34,+13.7,+67.5,-3.4,-5.98,1.31,-3.34,0.71,1.19,-0.13,-2.03,6.11,5.98,3.98,-2.35
1998,20.1,17,109.5,20.3,-89.2,-81.5,-12.3,-12.6,-6.82,1.58,5.23,-0.62,-0.62,-5.23,6.74,6.11,-16.5,-6.29
1997,14.7,38,28.3,109.5,+81.2,+286.9,6.24,4.87,-15.5,-4.32,22.5,-0.2,2.48,-19.8,4.26,6.74,-37.4,3.31
1996,9.77,43,24.8,28.3,+3.5,+14.1,0.64,0.4,-1.11,-4.6,8.28,-0.02,2.56,-5.7,1.7,4.26,-13,0.41
1995,7.73,40,39.9,24.8,-15.1,-37.8,0.59,0.6,1.78,-4.49,1.7,0.05,-0.97,-2.71,2.68,1.71,22.8,0.78
1994,,-,76,39.9,-36.1,-47.5,,,,,,,,,,,-,
1993,,-,44.9,76,+31.1,+69.3,,,,,,,,,,,-,
