盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,1.6,0,1.6,0,0,0,1.6,0.32,0,-,-,-,-,2018,36.5,30.55,34.3,4.67,0,4.67,2017,-,-,-,-
2017,1.6,0,1.6,0,0,0,1.6,0.32,0,-,-,-,-,2017,34.5,24.5,28.1,5.69,0,5.69,2016,-,-,-,-
2016,1.4,0,1.4,0,0,0,1.4,0.28,0,-,-,-,-,2016,26.5,21.25,23.5,5.97,0,5.97,2015,-,-,-,-
2015,0.9,0,0.9,0,0,0,0.9,0.18,0,4.37,-,0.02,0,2015,23.4,19.5,21.8,4.13,0,4.13,2014,-,-,-,-
2014,1.6,0,1.6,0,0,0,1.6,0.32,0,40,-,0.2,0,2014,24.6,20,22.5,7.11,0,7.11,2013,-,-,-,-
2013,1.6,0,1.6,0,0,0,1.6,0.32,0,29.3,-,0.15,0,2013,25.35,19.65,21.8,7.33,0,7.33,2012,-,-,-,-
2012,1.3,0,1.3,0,0,0,1.3,0.26,0,19.3,-,0.1,0,2012,20.1,17.45,19.1,6.81,0,6.81,2011,-,-,-,-
2011,1.6,0,1.6,0,0,0,1.6,0.32,0,35.3,-,0.18,0,2011,24.4,17.05,20.4,7.82,0,7.82,2010,-,-,-,-
2010,5.6,0,5.6,0,0,0,5.6,1.12,0,9.84,-,0.04,0,2010,30,17.5,21.7,25.8,0,25.8,2009,-,-,-,-
2009,0,0,0,0,0,0,0,0,0,0,-,0,0,2009,19.45,10.05,14.8,0,0,0,2008,-,-,-,-
2008,0,0,0,0,0,0,0,-,-,0,-,0,0,2008,18.9,10.1,15.3,0,0,0,2007,-,-,-,-
2007,-,-,-,-,-,-,-,-,-,-,-,-,-,2007,18.45,14.05,16.1,-,-,-,-,-,-,-,-
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,2006,14.95,8.73,10.8,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,2005,13.05,8.2,10.7,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,2004,14.1,10.4,12.3,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,2003,16.4,8.7,11.5,-,-,-,-,-,-,-,-
2002,0.6,0,0.6,0,0,0,0.6,-,-,-,-,-,-,2002,19.1,7.8,11.2,5.35,0,5.35,2001,-,-,-,-
2001,1.2,0,1.2,0,0,0,1.2,-,-,-,-,-,-,2001,15.9,7.35,10.3,11.7,0,11.7,2000,-,-,-,-
2000,0,0,0,0,0,0,0,-,-,-,-,-,-,2000,34.5,10.05,21.5,0,0,0,1999,-,-,-,-
1999,0.6,0,0.6,0,0,0,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,1998,-,-,-,-
1998,0.6,0,0.6,0,0,0,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,1997,-,-,-,-
1997,0.6,0,0.6,0,0,0,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,1996,-,-,-,-
1996,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1995,-,-,-,-
平均,0.9,0,0.9,0,0,0,0.9,,,,,,,平均,22.6,14.9,18.3,6.6,0,6.6,平均,,,,
累計,20.8,0,20.8,0,0,0,20.8,,,,,,,累計,,,,,,,累計,,,,
