盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,2,0,2,0,0,0,2,2.27,0,-,-,-,-,2018,38.9,31,34,5.88,0,5.88,2017,2.15,93,0,93
2017,2.2,0,2.2,0,0,0,2.2,2.49,0,-,-,-,-,2017,49.45,37.85,42,5.23,0,5.23,2016,3.81,57.7,0,57.7
2016,2,0,2,0,0,0,2,2.07,0,-,-,-,-,2016,53.2,20.7,36.6,5.46,0,5.46,2015,2.62,76.3,0,76.3
2015,2,0,2,0,0,0,2,2.07,0,2.3,1.08,0.21,0,2015,25.25,12.6,20.7,9.68,0,9.68,2014,2.06,97.1,0,97.1
2014,0.5,0,0.5,0,0,0,0.5,0.52,0,0,0,0.05,0,2014,31.8,12.95,22.7,2.2,0,2.2,2013,0.48,104,0,104
2013,0.3,0,0.3,0,0,0,0.3,0.31,0,1.41,21.7,0.03,0,2013,14.95,8.19,11.3,2.64,0,2.64,2012,0.06,500,0,500
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,9.85,7.18,8.15,0,0,0,2011,0.24,0,0,0
2011,1,0,1,0.1,0,0.1,1.1,1.01,1.01,5.07,4.37,0,0.82,2011,14.6,7,11.4,8.75,0.88,9.63,2010,1.16,86.2,8.6,94.8
2010,1,0,1,0.1,0,0.1,1.1,0.99,0.99,4.93,4.58,0,0.71,2010,18.05,12.95,15.1,6.61,0.66,7.28,2009,1.09,91.7,9.2,101
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,16.35,6.3,10.2,0,0,0,2008,0.81,0,0,0
2008,1.6,0,1.6,0.4,0,0.4,2,-,-,8.46,3.76,0,1.06,2008,21,6.62,14.2,11.3,2.83,14.1,2007,2.34,68.4,17.1,85.5
2007,1.8,0,1.8,0.2,0,0.2,2,-,-,8.2,4.4,0,-,2007,25.4,16.05,19.8,9.11,1.01,10.1,2006,2,90,10,100
2006,2,0,2,0.1,0,0.1,2.1,-,-,8.43,4.16,0,-,2006,23.3,14.3,17.8,11.2,0.56,11.8,2005,2.31,86.6,4.3,90.9
2005,1,0,1,0.1,0,0.1,1.1,-,-,4.17,3.49,0,-,2005,28.2,13.2,18.3,5.47,0.55,6.01,2004,1.39,71.9,7.2,79.1
2004,0.6,0,0.6,0.4,0,0.4,1,-,-,3.71,4.84,0,-,2004,24.4,9.7,15.6,3.84,2.56,6.4,2003,0.89,67.4,44.9,112
2003,0.5,0,0.5,1.2,0,1.2,1.7,-,-,5.69,2.82,0.07,-,2003,27.5,13.9,19.9,2.51,6.03,8.55,2002,2.69,18.6,44.6,63.2
2002,0.5,0,0.5,2,0,2,2.5,-,-,0,0,0,-,2002,81.5,24.3,44.5,1.12,4.49,5.62,2001,3.87,12.9,51.7,64.6
2001,0,0,0,2,0,2,2,-,-,0,0,0,-,2001,73.5,29.5,44.4,0,4.5,4.5,2000,2.01,0,99.5,99.5
2000,0,0,0,3,0,3,3,-,-,0,0,0,-,-,-,-,-,-,-,-,1999,4.58,0,65.5,65.5
1999,0,0,0,4,0,4,4,-,-,0,0,0,-,-,-,-,-,-,-,-,1998,7.28,0,54.9,54.9
平均,0.95,0,0.95,0.68,0,0.68,1.63,,,,,,,平均,32.1,15.8,22.6,5.1,1.3,6.4,平均,2.19,76.1,20.9,97
累計,19,0,19,13.6,0,13.6,32.6,,,,,,,累計,,,,,,,累計,43.8,,,
