盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/22,2018/07/12,32.2,,,2018/08/10(即將發放),2,0,2,0,0,0,2,36.1,5.54
2016,2017,2017/06/19,2017/07/13,38.4,,,2017/08/11,2.8,0,2.8,0,0,0,2.8,40.3,6.95
2015,2016,2016/06/24,2016/07/14,50.2,,,2016/08/12,2.8,0,2.8,0,0,0,2.8,43.8,6.39
2014,2015,2015/06/17,2015/07/16,35.95,,,2015/08/14,2,0,2,0,0,0,2,42.4,4.72
2013,2014,2014/06/18,2014/07/09,29.55,,,,2,0,2,0,0,0,2,30.7,6.52
2012,2013,2013/06/19,2013/07/09,28.15,,,,1.5,0,1.5,0,0,0,1.5,30,5.01
2011,2012,2012/06/15,2012/07/03,19.4,,,,1.2,0,1.2,0,0,0,1.2,21,5.73
2010,2011,2011/06/15,2011/07/13,19.5,,,,1.2,0,1.2,0,0,0,1.2,20.2,5.95
2009,2010,2010/05/27,2010/06/29,19.55,,,,1.5,0,1.5,0,0,0,1.5,20.2,7.44
2008,2009,2009/05/27,2009/06/26,14.7,,,,0.7,0,0.7,0,0,0,0.7,15.6,4.47
2007,2008,2008/05/30,2008/07/23,12.2,,,,1.5,0,1.5,0,0,0,1.5,15.2,9.87
2006,2007,2007/05/30,2007/07/18,26.65,,,,2.5,0,2.5,0,0,0,2.5,26.3,9.51
2005,2006,2006/05/30,2006/07/19,33.9,,,,4,0,4,0,0,0,4,33.3,12
2004,2005,2005/05/31,2005/07/19,35.75,2005/07/19,35.75,,1.2,0,1.2,0.1,0,0.1,1.3,35.6,3.65
2003,2004,2004/05/28,2004/07/23,28.8,,,,1.75,0,1.75,0,0,0,1.75,31.8,5.51
2002,2003,2003/05/28,2003/06/27,21.4,,,,1.36,0,1.36,0,0,0,1.36,24.1,5.64
2001,2002,2002/05/31,2002/07/16,23,2002/07/16,21.9,,2,0,2,0.5,0,0.5,2.5,23,10.89
2000,2001,2001/05/22,2001/06/12,27,2001/07/05,26.4,,0.8,0,0.8,0,0.4,0.4,1.2,22.2,5.4
1999,2000,2000/05/19,2000/07/10,15.2,2000/07/10,14.2,,0.8,0,0.8,0,0.7,0.7,1.5,17.1,8.79
1998,1999,1999/04/16,1999/06/16,35.9,1999/06/16,31.8,,0.6,0,0.6,1.2,0,1.2,1.8,34.2,5.27
1997,1998,1998/04/22,,,,,,0.6,0,0.6,0,0.6,0.6,1.2,38.4,3.12
1996,1997,1997/04/19,,,1997/06/14,,,0,0,0,0.3,0.5,0.8,0.8,25,3.2
1995,1996,1996/05/22,,,1996/08/01,,,0,0,0,0.3,0.3,0.6,0.6,20.6,2.91
1994,1995,1995/04/22,,,1995/06/29,,,0,0,0,1.2,0,1.2,1.2,25.6,4.68
1993,1994,1994/04/27,,,1994/07/31,,,0,0,0,1.5,0,1.5,1.5,,
1992,1993,1993/06/17,,,1993/08/28,,,0,0,0,1.25,0,1.25,1.25,,
