盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,,2018/05/17,14.31,,,,0.22,0,0.22,0,0,0,0.22,14.1,1.56
2016,2017,,2017/11/21,12.94,,,,0.22,0,0.22,0,0,0,0.22,13.9,1.58
2016,2017,,2017/05/18,14.15,,,,0.21,0,0.21,0,0,0,0.21,13.9,1.54
2015,2016,,2016/11/22,15.41,,,,0.21,0,0.21,0,0,0,0.21,15.8,1.33
2015,2016,,2016/05/24,16.24,,,,0.22,0,0.22,0,0,0,0.22,15.8,1.39
2014,2015,,2015/11/19,15.14,,,,0.22,0,0.22,0,0,0,0.22,15.7,1.43
2014,2015,,2015/05/21,16.05,,,,0.22,0,0.22,0,0,0,0.22,15.7,1.41
2013,2014,,2014/11/20,15.31,,,,0.22,0,0.22,0,0,0,0.22,15.3,1.44
2013,2014,,2014/05/22,14.12,,,,0.21,0,0.21,0,0,0,0.21,15.3,1.39
2012,2013,,2013/11/21,16.48,,,,0.21,0,0.21,0,0,0,0.21,17.1,1.25
2012,2013,,2013/05/23,17.76,,,,0.21,0,0.21,0,0,0,0.21,17.1,1.26
2011,2012,,2012/11/22,15.68,,,,0.21,0,0.21,0,0,0,0.21,14.6,1.45
2011,2012,,2012/05/24,14.57,,,,0.21,0,0.21,0,0,0,0.21,14.6,1.46
2010,2011,,2011/11/24,12.36,,,,0.22,0,0.22,0,0,0,0.22,11.8,1.84
2010,2011,,2011/05/25,11.21,,,,0.22,0,0.22,0,0,0,0.22,11.8,1.82
2009,2010,,2010/11/24,11.43,,,,0.19,0,0.19,0,0,0,0.19,10.9,1.76
2009,2010,,2010/05/25,10.62,,,,0.19,0,0.19,0,0,0,0.19,10.9,1.73
2008,2009,,2009/11/24,10.74,,,,0.21,0,0.21,0,0,0,0.21,9.86,2.09
2008,2009,,2009/05/20,9.59,,,,0.21,0,0.21,0,0,0,0.21,9.86,2.14
2007,2008,,2008/11/20,7.83,,,,0.21,0,0.21,0,0,0,0.21,9.85,2.15
2007,2008,,2008/05/22,10.79,,,,0.2,0,0.2,0,0,0,0.2,9.85,2.07
2006,2007,,2007/11/27,9.84,,,,0.29,0,0.29,0,0,0,0.29,10.8,2.65
