盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/15,2018/07/16,33.35,,,2018/08/15(即將發放),1.6,0,1.6,0,0,0,1.6,34.1,4.69
2016,2017,2017/06/16,2017/07/14,26,,,2017/08/16,1.6,0,1.6,0,0,0,1.6,28.1,5.69
2015,2016,2016/06/14,2016/07/14,22.05,,,2016/08/12,1.4,0,1.4,0,0,0,1.4,23.5,5.97
2014,2015,2015/06/12,2015/07/20,21.55,,,2015/08/14,0.9,0,0.9,0,0,0,0.9,21.8,4.13
2013,2014,2014/06/25,2014/07/21,22.25,,,2014/08/15,1.6,0,1.6,0,0,0,1.6,22.5,7.11
2012,2013,2013/06/07,2013/07/18,21.5,,,,1.6,0,1.6,0,0,0,1.6,21.8,7.33
2011,2012,2012/06/15,2012/07/25,17.45,,,,1.3,0,1.3,0,0,0,1.3,19.1,6.81
2010,2011,2011/06/24,2011/07/25,20.75,,,,1.6,0,1.6,0,0,0,1.6,20.4,7.82
2009,2010,2010/06/04,2010/07/14,22.3,,,,5.6,0,5.6,0,0,0,5.6,21.7,25.77
2008,2009,2009/06/10,,,,,,0,0,0,0,0,0,0,14.8,0
2007,2008,2008/06/13,,,,,,0,0,0,0,0,0,0,15.3,0
2001,2002,,,,,,,0.6,0,0.6,0,0,0,0.6,11.2,5.35
2000,2001,,,,,,,1.2,0,1.2,0,0,0,1.2,10.3,11.68
1999,2000,,,,,,,0,0,0,0,0,0,0,21.5,0
1998,1999,,,,,,,0.6,0,0.6,0,0,0,0.6,,
1997,1998,,,,,,,0.6,0,0.6,0,0,0,0.6,,
1996,1997,,,,,,,0.6,0,0.6,0,0,0,0.6,,
1995,1996,,,,,,,0,0,0,0,0,0,0,,
