盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/19,,,,,,0,0,0,0,0,0,0,23.5,0
2016,2017,2017/06/20,,,,,,0,0,0,0,0,0,0,14.9,0
2015,2016,2016/06/21,2016/08/03,12.1,,,2016/08/23,0.5,0,0.5,0,0,0,0.5,12.6,3.98
2014,2015,2015/06/23,,,,,,0,0,0,0,0,0,0,13.6,0
2013,2014,2014/06/26,,,,,,0,0,0,0,0,0,0,13.7,0
2012,2013,2013/06/21,,,,,,0,0,0,0,0,0,0,8.46,0
2011,2012,2012/06/21,,,,,,0,0,0,0,0,0,0,7.94,0
2010,2011,2011/06/22,2011/07/12,13.8,,,,0.5,0,0.5,0,0,0,0.5,13.4,3.72
2009,2010,2010/06/15,,,,,,0,0,0,0,0,0,0,17.5,0
2008,2009,2009/06/10,,,,,,0,0,0,0,0,0,0,11.8,0
2007,2008,2008/06/13,2008/08/05,9.07,2008/08/05,9.07,,0.25,0,0.25,0.25,0,0.25,0.51,12.1,4.19
2006,2007,2007/06/15,2007/07/05,30.2,,,,0.3,0,0.3,0,0,0,0.3,25.1,1.2
2005,2006,2006/06/27,,,,,,0,0,0,0,0,0,0,14.3,0
2004,2005,2005/06/28,,,,,,0,0,0,0,0,0,0,10,0
2003,2004,,,,,,,0,0,0,0,0,0,0,15.6,0
2002,2003,2003/06/06,2003/08/06,19.6,2003/08/06,19.6,,0.3,0,0.3,0.3,0,0.3,0.6,18.6,3.23
2001,2002,2002/06/03,2002/07/25,23.68,2002/07/25,23.68,,0.5,0,0.5,1.2,0.3,1.5,2,30.6,6.53
2000,2001,2001/05/04,2001/08/02,42.09,2001/08/02,42.09,,0.4,0,0.4,2.3,0.5,2.8,3.2,60.8,5.26
1999,2000,2000/05/06,,,2000/06/14,,,0,0,0,3.5,0.5,4,4,118.8,3.37
1998,1999,,,,,,,0,0,0,3.8,0,3.8,3.8,98.1,3.87
1997,1998,1998/03/13,,,1998/06/12,,,0,0,0,3,0,3,3,84.4,3.56
1996,1997,1997/03/08,,,1997/04/24,,,0,0,0,2,0,2,2,,
1995,1996,,,,,,,0,0,0,2,0,2,2,,
1994,1995,,,,,,,0,0,0,0,0,0,0,,
1993,1994,,,,,,,0,0,0,0,0,0,0,,
