經紀手續費收入,4.96,45,3.99,60.8,4.16,49.9,3.67,53.8,3.29,65.2,3.64,66.3,3.63,64.8
營業證券出售利益,0.16,1.45,0.57,8.61,0.2,2.39,0.49,7.2,-0.014,-0.28,-0.021,-0.37,-0.006,-0.1
股利收入,0.005,0.05,0.003,0.04,0.05,0.6,0.001,0.01,0.002,0.04,0.001,0.01,0.004,0.07
營業證券評價利益,-0.27,-2.46,-0.58,-8.9,0.54,6.53,-0.18,-2.66,0.099,1.97,0.12,2.14,0.043,0.76
借券及附賣回債券融券回補利益,0,0,-0.005,-0.07,0.023,0.27,0.02,0.3,-0.001,-0.01,-0.003,-0.05,-0.002,-0.03
借券及附賣回債券融券評價利益,0,0,0.005,0.07,-0.028,-0.33,-0.01,-0.15,0.033,0.66,-0.002,-0.03,0.002,0.03
期貨佣金收入,1.77,16.1,1.94,29.6,2.74,32.9,1.89,27.8,1.12,22.2,1.35,24.6,1.61,28.8
證券佣金收入,0.02,0.18,0.023,0.36,0.023,0.28,0.018,0.26,0.017,0.33,0.009,0.17,0.059,1.05
衍生性金融商品利益–期貨,4.43,40.2,0.4,6.05,0.27,3.22,0.48,7.06,0.3,5.97,0.26,4.82,0.13,2.39
衍生性金融商品利益–櫃檯,0.2,1.79,0.13,1.95,0.23,2.74,0.31,4.49,0.067,1.32,0,0,-,-
經理費收入,0.01,0.09,0.005,0.08,0.007,0.09,0.005,0.07,0.001,0.03,0,0,0,0
顧問費收入,0.048,0.44,0.056,0.86,0.045,0.54,0.041,0.61,0.036,0.71,0.034,0.62,0.043,0.77
預期信用減損損失(利益),-0.35,-3.17,-,-,-,-,-,-,-,-,-,-,-,-
其他營業收入,0.04,0.36,0.039,0.59,0.072,0.87,0.087,1.27,0.099,1.96,0.095,1.73,0.079,1.41
營業收入,11.02,100,6.57,100,8.33,100,6.82,100,5.05,100,5.49,100,5.61,100
經紀經手費支出,1.05,9.51,1.04,15.8,1.02,12.3,0.81,12,0.67,13.3,0.8,14.5,0.9,16
自營經手費支出,0.02,0.18,0.021,0.32,0.022,0.26,0.017,0.24,0.026,0.52,0.021,0.38,0.022,0.39
財務成本,0.021,0.19,0.026,0.39,0.012,0.15,0.015,0.22,0.013,0.26,0.014,0.25,0.011,0.19
期貨佣金支出,1.99,18,1.86,28.3,2.6,31.2,2.09,30.7,1.41,27.9,1.45,26.4,1.5,26.7
結算交割服務費支出,0.43,3.87,0.39,5.93,0.41,4.94,0.35,5.09,0.32,6.44,0.32,5.86,0.38,6.72
其他營業成本,0.019,0.17,0.007,0.1,0.008,0.1,0.021,0.3,0.006,0.12,0.002,0.03,0,0
營業成本,3.52,31.9,3.34,50.9,4.08,49,3.3,48.5,2.45,48.5,2.61,47.5,2.8,50
營業毛利,7.5,68.1,3.22,49.1,4.25,51,3.51,51.5,2.6,51.5,2.89,52.5,2.8,50
員工福利費用,1.45,13.1,1.07,16.3,1.3,15.6,1.05,15.4,1.08,21.4,0.99,18.1,0.95,17
折舊及攤銷費用,0.073,0.66,0.073,1.11,0.065,0.79,0.059,0.86,0.059,1.16,0.06,1.09,0.065,1.16
其他營業費用,2.21,20,0.95,14.4,0.95,11.5,0.96,14.1,0.85,16.8,0.82,15,0.73,13
營業費用,3.73,33.8,2.09,31.8,2.32,27.8,2.07,30.4,1.99,39.4,1.87,34.1,1.75,31.2
營業利益,3.77,34.2,1.14,17.3,1.93,23.2,1.44,21.1,0.61,12.1,1.01,18.4,1.06,18.8
其他利益及損失,0.91,8.23,0.67,10.3,0.97,11.6,1.02,14.9,0.5,10,0.42,7.63,0.42,7.56
關聯企業及合資損益,0.003,0.03,0,0,0.003,0.04,0.003,0.05,0.003,0.07,-0.005,-0.09,0.01,0.18
業外損益合計,0.91,8.26,0.67,10.3,0.97,11.7,1.02,15,0.51,10.1,0.41,7.54,0.43,7.74
稅前淨利,4.68,42.5,1.81,27.6,2.9,34.9,2.46,36.1,1.12,22.2,1.42,25.9,1.49,26.6
所得稅費用,0.54,4.9,-0.19,-2.93,-0.27,-3.24,-0.33,-4.85,-0.17,-3.33,-0.23,-4.13,-0.26,-4.64
繼續營業單位稅後損益,4.14,37.6,1.62,24.7,2.63,31.6,2.13,31.2,0.95,18.8,1.2,21.8,1.23,21.9
合併稅後淨利,4.14,37.6,1.62,24.7,2.63,31.6,2.13,31.2,0.95,18.8,1.2,21.8,1.23,21.9
歸屬於少數股權之淨利,0.019,0.17,-0.002,-0.03,0.014,0.17,0.004,0.06,0.008,0.16,-0.013,-0.23,0.015,0.26
稅後淨利,4.13,37.4,1.62,24.7,2.62,31.5,2.13,31.2,0.94,18.7,1.21,22,1.21,21.7
每股稅後盈餘(元),2.57,-,1.04,-,1.63,-,1.33,-,0.66,-,0.99,-,0.99,-
